g = [('a', 11), ('b', 2), ('a', 9), ('b', 10), ('a', -4), ('b', -4), ('a', -13), ('b', 1), ('a', -13), ('b', 12), ('a', -6), ('b', 8), ('a', -8), ('b', 11), ('a', -5)] n=15, fixed words = 9568503
g = [('b', -9), ('a', -10), ('b', -1), ('a', -15), ('b', 7), ('a', -3), ('b', -10), ('a', 6), ('b', 7), ('a', 9), ('b', 4), ('a', -3), ('b', 6), ('a', -12), ('b', -4)] n=15, fixed words = 11735523
g = [('b', -7), ('a', 11), ('b', 10), ('a', 2), ('b', 5), ('a', -3), ('b', 6), ('a', -10), ('b', 8), ('a', 2), ('b', -10), ('a', -1), ('b', 7), ('a', -11), ('b', 14)] n=15, fixed words = 11004417
g = [('a', -7), ('b', 10), ('a', -4), ('b', -15), ('a', -7), ('b', -14), ('a', 4), ('b', -13), ('a', -14), ('b', 12), ('a', 10), ('b', 8), ('a', -2), ('b', 2), ('a', -5)] n=15, fixed words = 9568503
g = [('a', -4), ('b', 15), ('a', -8), ('b', -11), ('a', -3), ('b', 5), ('a', 11), ('b', 2), ('a', -10), ('b', -14), ('a', -11), ('b', 15), ('a', 9), ('b', 9), ('a', 10)] n=15, fixed words = 12524706
g = [('a', -6), ('b', 6), ('a', -9), ('b', -8), ('a', 14), ('b', -10), ('a', 11), ('b', -13), ('a', 1), ('b', -2), ('a', -15), ('b', 10), ('a', -10), ('b', -15), ('a', -13)] n=15, fixed words = 11536992
g = [('a', -5), ('b', -6), ('a', 4), ('b', -5), ('a', -3), ('b', -15), ('a', -3), ('b', -1), ('a', -6), ('b', 5), ('a', 15), ('b', -5), ('a', -9), ('b', 1), ('a', 9)] n=15, fixed words = 9568503
g = [('b', 5), ('a', 5), ('b', 5), ('a', 4), ('b', -7), ('a', 3), ('b', -10), ('a', -15), ('b', 6), ('a', 13), ('b', 11), ('a', -3), ('b', -3), ('a', 5), ('b', 4)] n=15, fixed words = 10941075
g = [('b', -3), ('a', -12), ('b', -15), ('a', 4), ('b', -6), ('a', 11), ('b', -11), ('a', 12), ('b', 11), ('a', 9), ('b', -12), ('a', -5), ('b', -1), ('a', -1), ('b', 6)] n=15, fixed words = 11517957
g = [('b', -6), ('a', -1), ('b', -13), ('a', -4), ('b', -12), ('a', -11), ('b', 9), ('a', -13), ('b', -9), ('a', 15), ('b', -6), ('a', 15), ('b', 13), ('a', -5), ('b', 10)] n=15, fixed words = 9568503
g = [('b', 10), ('a', -13), ('b', -9), ('a', -3), ('b', 2), ('a', -11), ('b', -13), ('a', 2), ('b', -1), ('a', -2), ('b', -6), ('a', -15), ('b', 1), ('a', 13), ('b', 2)] n=15, fixed words = 9568503
g = [('b', -12), ('a', -9), ('b', 14), ('a', -5), ('b', 15), ('a', -1), ('b', 13), ('a', 3), ('b', 12), ('a', -7), ('b', 8), ('a', 12), ('b', -1), ('a', -8), ('b', 9)] n=15, fixed words = 11053665
g = [('b', -4), ('a', 15), ('b', -1), ('a', 14), ('b', 6), ('a', 4), ('b', 14), ('a', -3), ('b', 12), ('a', -3), ('b', -2), ('a', 6), ('b', -3), ('a', 12), ('b', 9)] n=15, fixed words = 11539827
g = [('b', 9), ('a', -10), ('b', -3), ('a', -5), ('b', 12), ('a', -11), ('b', -6), ('a', 9), ('b', -6), ('a', -15), ('b', 1), ('a', 3), ('b', 14), ('a', 2), ('b', -2)] n=15, fixed words = 11645937
g = [('a', 4), ('b', 15), ('a', 15), ('b', 9), ('a', -2), ('b', -3), ('a', -7), ('b', 1), ('a', -7), ('b', 9), ('a', -10), ('b', -2), ('a', 2), ('b', -12), ('a', 8)] n=15, fixed words = 11004417
g = [('a', 1), ('b', 6), ('a', 12), ('b', -6), ('a', -10), ('b', -1), ('a', 4), ('b', 4), ('a', -2), ('b', -15), ('a', -10), ('b', -8), ('a', -9), ('b', 5), ('a', -4)] n=15, fixed words = 13031118
g = [('b', 12), ('a', 2), ('b', -5), ('a', 8), ('b', 12), ('a', 3), ('b', -3), ('a', -2), ('b', -14), ('a', -10), ('b', 12), ('a', -8), ('b', 2), ('a', -15), ('b', 4)] n=15, fixed words = 9568503
