g = [('b', 7), ('a', -8), ('b', -3), ('a', -9), ('b', -2), ('a', -6), ('b', 1)] n=20, fixed words = 2390576922
g = [('b', 3), ('a', 3), ('b', -3), ('a', -4), ('b', 5), ('a', 5), ('b', -6)] n=20, fixed words = 1958440401
g = [('a', -4), ('b', -5), ('a', -9), ('b', 1), ('a', -8), ('b', 3), ('a', -10)] n=20, fixed words = 1958440401
g = [('a', 3), ('b', 2), ('a', 7), ('b', 4), ('a', 3), ('b', -3), ('a', 2)] n=20, fixed words = 2846207241
g = [('b', -8), ('a', 7), ('b', 1), ('a', -9), ('b', 7), ('a', -5), ('b', 8)] n=20, fixed words = 1958440401
g = [('b', -1), ('a', 1), ('b', -7), ('a', 10), ('b', -10), ('a', -5), ('b', 3)] n=20, fixed words = 2795074695
g = [('b', -1), ('a', 2), ('b', -7), ('a', -9), ('b', 1), ('a', 9), ('b', -6)] n=20, fixed words = 1958440401
g = [('b', -7), ('a', -2), ('b', 6), ('a', 2), ('b', 10), ('a', -10), ('b', -6)] n=20, fixed words = 2397840678
g = [('a', -10), ('b', 1), ('a', 10), ('b', 3), ('a', -4), ('b', -2), ('a', -7)] n=20, fixed words = 1958440401
g = [('b', 1), ('a', -6), ('b', 5), ('a', 9), ('b', 5), ('a', -7), ('b', -10)] n=20, fixed words = 1958440401
g = [('a', -3), ('b', 10), ('a', 4), ('b', -5), ('a', -1), ('b', 3), ('a', -6)] n=20, fixed words = 2374194456
g = [('a', 3), ('b', 2), ('a', 4), ('b', -8), ('a', -3), ('b', -9), ('a', -8)] n=20, fixed words = 2374194456
g = [('a', -2), ('b', 4), ('a', -10), ('b', -2), ('a', 3), ('b', -2), ('a', -9)] n=20, fixed words = 3249043281
g = [('b', 10), ('a', 7), ('b', -6), ('a', -1), ('b', 8), ('a', -10), ('b', 1)] n=20, fixed words = 1958440401
g = [('a', -6), ('b', -5), ('a', 10), ('b', -2), ('a', -6), ('b', 4), ('a', 8)] n=20, fixed words = 2838295404
g = [('a', -1), ('b', 3), ('a', 1), ('b', 4), ('a', -9), ('b', 10), ('a', 7)] n=20, fixed words = 1958440401
g = [('b', -2), ('a', -10), ('b', 2), ('a', 1), ('b', -8), ('a', -1), ('b', -7)] n=20, fixed words = 2374194456
g = [('a', -1), ('b', 3), ('a', -2), ('b', -7), ('a', 8), ('b', 6), ('a', -5)] n=20, fixed words = 2620818828
g = [('a', -9), ('b', -8), ('a', 3), ('b', -10), ('a', -10), ('b', -2), ('a', 5)] n=20, fixed words = 1958440401
g = [('a', 9), ('b', -4), ('a', 5), ('b', 5), ('a', -3), ('b', 3), ('a', -7)] n=20, fixed words = 1958440401
g = [('b', -9), ('a', 2), ('b', -5), ('a', 1), ('b', 9), ('a', -7), ('b', 3)] n=20, fixed words = 1958440401
g = [('b', -1), ('a', 7), ('b', 2), ('a', -5), ('b', 2), ('a', 2), ('b', 2)] n=20, fixed words = 1958440401
g = [('a', 8), ('b', -1), ('a', 6), ('b', 7), ('a', -8), ('b', -1), ('a', 7)] n=20, fixed words = 1958440401
g = [('a', -5), ('b', -10), ('a', -8), ('b', -1), ('a', -9), ('b', -10), ('a', 10)] n=20, fixed words = 2843843094
g = [('b', -8), ('a', -8), ('b', -3), ('a', 8), ('b', 5), ('a', -3), ('b', 6)] n=20, fixed words = 3168532431
g = [('a', -10), ('b', 8), ('a', 6), ('b', 1), ('a', -8), ('b', -4), ('a', 2)] n=20, fixed words = 1958440401
g = [('a', -1), ('b', 9), ('a', 6), ('b', 3), ('a', -2), ('b', 10), ('a', -6)] n=20, fixed words = 2390576922
g = [('a', -7), ('b', -4), ('a', 5), ('b', -4), ('a', 6), ('b', 1), ('a', 1)] n=20, fixed words = 1958440401
g = [('b', -2), ('a', -3), ('b', -6), ('a', -8), ('b', 3), ('a', -1), ('b', -3)] n=20, fixed words = 2390576922
g = [('b', -8), ('a', 1), ('b', -3), ('a', -1), ('b', 8), ('a', 6), ('b', -6)] n=20, fixed words = 3089009763
