g = [('a', 6), ('b', -13), ('a', 9), ('b', 13), ('a', -6), ('b', 12), ('a', 12), ('b', 1), ('a', -13), ('b', -13), ('a', -14), ('b', 12), ('a', -11), ('b', -14), ('a', -6)] n=20, fixed words = 1958440401
g = [('a', 5), ('b', 8), ('a', 9), ('b', 11), ('a', 2), ('b', -6), ('a', 1), ('b', 14), ('a', -4), ('b', 3), ('a', 2), ('b', -11), ('a', -9), ('b', 1), ('a', 8)] n=20, fixed words = 1958440401
g = [('a', 8), ('b', -3), ('a', -12), ('b', 12), ('a', -3), ('b', 14), ('a', 3), ('b', 10), ('a', -15), ('b', -6), ('a', 1), ('b', -2), ('a', -3), ('b', 4), ('a', -9)] n=20, fixed words = 2397164814
g = [('b', -13), ('a', 5), ('b', -1), ('a', -10), ('b', 3), ('a', 4), ('b', 3), ('a', -1), ('b', -4), ('a', -7), ('b', 5), ('a', 15), ('b', 9), ('a', 6), ('b', -9)] n=20, fixed words = 2350403406
g = [('a', 13), ('b', -14), ('a', -11), ('b', -4), ('a', -3), ('b', -10), ('a', -4), ('b', 10), ('a', -3), ('b', 2), ('a', -3), ('b', -9), ('a', -15), ('b', 3), ('a', 6)] n=20, fixed words = 1958440401
g = [('b', -11), ('a', -11), ('b', -2), ('a', 8), ('b', 14), ('a', -14), ('b', 6), ('a', 15), ('b', -9), ('a', 7), ('b', -15), ('a', 11), ('b', -9), ('a', -7), ('b', 8)] n=20, fixed words = 3168922257
g = [('a', -6), ('b', -12), ('a', -1), ('b', 15), ('a', 7), ('b', 6), ('a', 1), ('b', 2), ('a', -9), ('b', -8), ('a', -9), ('b', -6), ('a', 13), ('b', 9), ('a', -1)] n=20, fixed words = 2395809117
g = [('b', 13), ('a', 9), ('b', -14), ('a', 2), ('b', -9), ('a', -14), ('b', 5), ('a', -14), ('b', 13), ('a', 3), ('b', -7), ('a', 5), ('b', -13), ('a', -12), ('b', -1)] n=20, fixed words = 2388094191
g = [('b', -7), ('a', -10), ('b', -3), ('a', 3), ('b', -13), ('a', 12), ('b', 3), ('a', -15), ('b', 8), ('a', 14), ('b', 3), ('a', 11), ('b', -3), ('a', 11), ('b', 6)] n=20, fixed words = 2387846979
g = [('b', -13), ('a', 2), ('b', 1), ('a', 15), ('b', 11), ('a', 8), ('b', 7), ('a', 10), ('b', -5), ('a', 8), ('b', -3), ('a', -10), ('b', 9), ('a', 9), ('b', -6)] n=20, fixed words = 2350403406
g = [('a', -14), ('b', -14), ('a', 4), ('b', 3), ('a', 7), ('b', -13), ('a', -1), ('b', -2), ('a', -5), ('b', -6), ('a', 11), ('b', -12), ('a', 11), ('b', 1), ('a', -6)] n=20, fixed words = 1958440401
g = [('a', 13), ('b', -2), ('a', -6), ('b', 13), ('a', 11), ('b', 3), ('a', -12), ('b', 12), ('a', 3), ('b', 14), ('a', 9), ('b', 3), ('a', 4), ('b', 4), ('a', -11)] n=20, fixed words = 1958440401
g = [('b', 2), ('a', -8), ('b', -1), ('a', 6), ('b', 12), ('a', 8), ('b', -12), ('a', 13), ('b', -15), ('a', 1), ('b', -9), ('a', 10), ('b', 5), ('a', -8), ('b', -10)] n=20, fixed words = 1958440401
g = [('a', 13), ('b', 11), ('a', 8), ('b', -10), ('a', 5), ('b', -5), ('a', 14), ('b', 11), ('a', -7), ('b', 12), ('a', -10), ('b', -10), ('a', -10), ('b', 8), ('a', 5)] n=20, fixed words = 2524435632
g = [('a', 12), ('b', -15), ('a', 12), ('b', -12), ('a', -10), ('b', -9), ('a', -6), ('b', -11), ('a', 10), ('b', 3), ('a', 12), ('b', 2), ('a', -12), ('b', 12), ('a', 6)] n=20, fixed words = 2846207241
