g = [('b', -1), ('a', 1), ('b', -1), ('a', 2), ('b', -1), ('a', 3), ('b', -2), ('a', 2), ('b', -1), ('a', 1)] n=11, fixed words = 166428
g = [('a', -2), ('b', -3), ('a', 1), ('b', -1), ('a', 1), ('b', 3), ('a', 3), ('b', -1), ('a', -1), ('b', 2)] n=11, fixed words = 152874
g = [('a', 1), ('b', -1), ('a', 1), ('b', 3), ('a', 3), ('b', -3), ('a', -2), ('b', 2), ('a', -3), ('b', -2)] n=11, fixed words = 153873
g = [('a', 3), ('b', 2), ('a', 1), ('b', -2), ('a', -2), ('b', -3), ('a', -2), ('b', 2), ('a', 3), ('b', -3)] n=11, fixed words = 147420
g = [('a', -1), ('b', 2), ('a', 1), ('b', 3), ('a', -2), ('b', -1), ('a', -3), ('b', 2), ('a', -2), ('b', -3)] n=11, fixed words = 147825
g = [('b', -3), ('a', -1), ('b', 3), ('a', 3), ('b', -3), ('a', 1), ('b', -1), ('a', 1), ('b', -2), ('a', 2)] n=11, fixed words = 162891
g = [('a', 3), ('b', 3), ('a', -2), ('b', -1), ('a', 3), ('b', -1), ('a', -1), ('b', -2), ('a', 2), ('b', -1)] n=11, fixed words = 132813
g = [('b', -3), ('a', -1), ('b', 3), ('a', -1), ('b', -2), ('a', 1), ('b', -1), ('a', -1), ('b', 2), ('a', 2)] n=11, fixed words = 153819
g = [('b', -3), ('a', -1), ('b', 2), ('a', -2), ('b', 1), ('a', 1), ('b', -2), ('a', -1), ('b', 3), ('a', -2)] n=11, fixed words = 132813
g = [('a', 1), ('b', 2), ('a', -3), ('b', 1), ('a', 1), ('b', -3), ('a', 3), ('b', 2), ('a', 1), ('b', 2)] n=11, fixed words = 147420
g = [('b', -3), ('a', 3), ('b', 3), ('a', -2), ('b', 3), ('a', 2), ('b', 3), ('a', -2), ('b', -3), ('a', -3)] n=11, fixed words = 147987
g = [('b', -1), ('a', 3), ('b', 1), ('a', -2), ('b', -3), ('a', 2), ('b', 1), ('a', -3), ('b', -2), ('a', 1)] n=11, fixed words = 132813
g = [('b', 1), ('a', -3), ('b', 1), ('a', 2), ('b', -3), ('a', -2), ('b', 2), ('a', 3), ('b', -2), ('a', -3)] n=11, fixed words = 147906
g = [('a', 3), ('b', 2), ('a', -1), ('b', -2), ('a', 1), ('b', 2), ('a', 2), ('b', -1), ('a', 2), ('b', -3)] n=11, fixed words = 132813
g = [('b', 3), ('a', 3), ('b', -2), ('a', -2), ('b', -2), ('a', 1), ('b', 1), ('a', -3), ('b', -2), ('a', -3)] n=11, fixed words = 132813
g = [('a', -3), ('b', 2), ('a', 1), ('b', 3), ('a', -2), ('b', -3), ('a', -2), ('b', -2), ('a', -2), ('b', -1)] n=11, fixed words = 132813
g = [('b', 1), ('a', 1), ('b', 3), ('a', 3), ('b', 3), ('a', -1), ('b', 3), ('a', -3), ('b', 3), ('a', -3)] n=11, fixed words = 147906
g = [('b', 3), ('a', 3), ('b', 3), ('a', 1), ('b', 3), ('a', -3), ('b', 2), ('a', 3), ('b', 3), ('a', -2)] n=11, fixed words = 132813
g = [('b', -1), ('a', -3), ('b', -3), ('a', 1), ('b', -1), ('a', -3), ('b', 1), ('a', -1), ('b', 3), ('a', 2)] n=11, fixed words = 132813
g = [('a', -3), ('b', -3), ('a', -3), ('b', -3), ('a', 3), ('b', -3), ('a', -1), ('b', 3), ('a', -3), ('b', -3)] n=11, fixed words = 152442
g = [('b', -1), ('a', -2), ('b', -3), ('a', 1), ('b', 3), ('a', 1), ('b', -1), ('a', 2), ('b', 1), ('a', -1)] n=11, fixed words = 132813
g = [('a', -2), ('b', 1), ('a', 3), ('b', 2), ('a', -2), ('b', -1), ('a', -3), ('b', 3), ('a', 3), ('b', -1)] n=11, fixed words = 132813
g = [('b', -1), ('a', 1), ('b', 2), ('a', 2), ('b', 3), ('a', 3), ('b', 1), ('a', -3), ('b', -1), ('a', 3)] n=11, fixed words = 147501
g = [('b', 3), ('a', 2), ('b', 2), ('a', -2), ('b', -2), ('a', 2), ('b', -2), ('a', 3), ('b', -1), ('a', -1)] n=11, fixed words = 153603
g = [('a', -2), ('b', 1), ('a', 2), ('b', -1), ('a', -1), ('b', -1), ('a', 1), ('b', -3), ('a', 1), ('b', 3)] n=11, fixed words = 132813
g = [('a', -1), ('b', -3), ('a', 2), ('b', -2), ('a', -1), ('b', -3), ('a', -3), ('b', 3), ('a', -1), ('b', -3)] n=11, fixed words = 132813
g = [('b', -1), ('a', 1), ('b', -2), ('a', 3), ('b', 3), ('a', -1), ('b', 3), ('a', 1), ('b', 2), ('a', -1)] n=11, fixed words = 147906
g = [('a', -2), ('b', 3), ('a', -3), ('b', 1), ('a', -2), ('b', 2), ('a', 1), ('b', 2), ('a', 1), ('b', 3)] n=11, fixed words = 132813
g = [('b', -2), ('a', -3), ('b', 2), ('a', 2), ('b', 3), ('a', -1), ('b', -3), ('a', 2), ('b', 1), ('a', -3)] n=11, fixed words = 147825
g = [('b', 3), ('a', 2), ('b', 3), ('a', -1), ('b', 1), ('a', 1), ('b', -1), ('a', 2), ('b', -1), ('a', -3)] n=11, fixed words = 132813
g = [('b', 3), ('a', 1), ('b', -3), ('a', -2), ('b', 3), ('a', 1), ('b', 2), ('a', 3), ('b', -1), ('a', -1)] n=11, fixed words = 132813
g = [('b', 2), ('a', 3), ('b', 3), ('a', -3), ('b', -1), ('a', 2), ('b', -2), ('a', 3), ('b', -3), ('a', -3)] n=11, fixed words = 132813
g = [('a', -1), ('b', 3), ('a', -3), ('b', 1), ('a', -3), ('b', -1), ('a', -2), ('b', 3), ('a', -3), ('b', 2)] n=11, fixed words = 147906
g = [('b', -1), ('a', -3), ('b', 1), ('a', 1), ('b', -1), ('a', 3), ('b', -1), ('a', -1), ('b', 1), ('a', 1)] n=11, fixed words = 132813
g = [('b', -3), ('a', 1), ('b', -3), ('a', 1), ('b', -1), ('a', -1), ('b', 1), ('a', 3), ('b', 1), ('a', 3)] n=11, fixed words = 132813
g = [('b', -2), ('a', -1), ('b', 2), ('a', -3), ('b', 3), ('a', -3), ('b', -3), ('a', -2), ('b', -3), ('a', -1)] n=11, fixed words = 147987
g = [('b', -2), ('a', 3), ('b', -3), ('a', 3), ('b', 3), ('a', 2), ('b', 3), ('a', 1), ('b', 1), ('a', 2)] n=11, fixed words = 132813
g = [('b', -2), ('a', -1), ('b', -3), ('a', -2), ('b', 3), ('a', -1), ('b', 3), ('a', 1), ('b', -1), ('a', 3)] n=11, fixed words = 176580
g = [('a', 2), ('b', -2), ('a', 2), ('b', 3), ('a', 3), ('b', 2), ('a', -1), ('b', 3), ('a', -2), ('b', 3)] n=11, fixed words = 151848
g = [('a', 2), ('b', -2), ('a', 2), ('b', -1), ('a', -2), ('b', -3), ('a', -2), ('b', 3), ('a', 3), ('b', -1)] n=11, fixed words = 147015
g = [('a', -1), ('b', 2), ('a', -2), ('b', -2), ('a', -1), ('b', 1), ('a', -1), ('b', -2), ('a', -2), ('b', 1)] n=11, fixed words = 152874
g = [('b', 1), ('a', 2), ('b', -2), ('a', 3), ('b', -1), ('a', -2), ('b', 1), ('a', -3), ('b', 3), ('a', -3)] n=11, fixed words = 147906
g = [('a', 3), ('b', 3), ('a', -3), ('b', 1), ('a', 1), ('b', -2), ('a', -2), ('b', -1), ('a', -1), ('b', -1)] n=11, fixed words = 153873
g = [('b', 3), ('a', 1), ('b', 2), ('a', 2), ('b', -2), ('a', 3), ('b', 1), ('a', 1), ('b', 3), ('a', -3)] n=11, fixed words = 132813
g = [('a', 1), ('b', 3), ('a', -2), ('b', 1), ('a', -2), ('b', 1), ('a', 2), ('b', 3), ('a', -1), ('b', 3)] n=11, fixed words = 132813
g = [('b', -3), ('a', -3), ('b', 2), ('a', 3), ('b', 3), ('a', -2), ('b', 2), ('a', 1), ('b', -3), ('a', -2)] n=11, fixed words = 147420
g = [('a', 2), ('b', 1), ('a', 3), ('b', -2), ('a', -3), ('b', -3), ('a', 1), ('b', -2), ('a', 3), ('b', 1)] n=11, fixed words = 147501
g = [('a', -2), ('b', 3), ('a', 2), ('b', 3), ('a', -2), ('b', -2), ('a', -1), ('b', -3), ('a', 2), ('b', 2)] n=11, fixed words = 147501
g = [('b', 3), ('a', -3), ('b', -2), ('a', -1), ('b', -3), ('a', 1), ('b', -3), ('a', -2), ('b', -3), ('a', 3)] n=11, fixed words = 132813
g = [('b', 2), ('a', -1), ('b', -2), ('a', -1), ('b', -2), ('a', -3), ('b', -1), ('a', -2), ('b', 3), ('a', 2)] n=11, fixed words = 153225
g = [('b', -2), ('a', -3), ('b', -2), ('a', -3), ('b', 1), ('a', -2), ('b', 3), ('a', -1), ('b', 1), ('a', 3)] n=11, fixed words = 147906
g = [('a', 1), ('b', 3), ('a', 1), ('b', 2), ('a', 3), ('b', -1), ('a', 2), ('b', -2), ('a', -3), ('b', -1)] n=11, fixed words = 132813
g = [('a', 1), ('b', -3), ('a', -2), ('b', 2), ('a', -3), ('b', -2), ('a', 2), ('b', 2), ('a', 3), ('b', 2)] n=11, fixed words = 132813
g = [('b', 1), ('a', 2), ('b', 2), ('a', -1), ('b', 3), ('a', 2), ('b', 3), ('a', 1), ('b', 3), ('a', -1)] n=11, fixed words = 162810
g = [('a', -3), ('b', 2), ('a', 2), ('b', -3), ('a', 1), ('b', -3), ('a', 3), ('b', -2), ('a', -2), ('b', -2)] n=11, fixed words = 132813
g = [('a', -3), ('b', -2), ('a', 3), ('b', -1), ('a', 2), ('b', -2), ('a', -2), ('b', -3), ('a', 3), ('b', 2)] n=11, fixed words = 162891
g = [('b', 1), ('a', -2), ('b', -1), ('a', 2), ('b', -3), ('a', 1), ('b', -3), ('a', 3), ('b', -3), ('a', -3)] n=11, fixed words = 152307
g = [('b', -2), ('a', 3), ('b', 1), ('a', 1), ('b', -1), ('a', 1), ('b', 3), ('a', 1), ('b', 1), ('a', 3)] n=11, fixed words = 152280
g = [('b', 1), ('a', 3), ('b', -2), ('a', -1), ('b', -3), ('a', -2), ('b', 2), ('a', 2), ('b', 1), ('a', -3)] n=11, fixed words = 132813
g = [('b', 2), ('a', -3), ('b', 2), ('a', -1), ('b', -1), ('a', 3), ('b', 3), ('a', 2), ('b', -2), ('a', 2)] n=11, fixed words = 147015
g = [('a', -2), ('b', -3), ('a', -2), ('b', 2), ('a', 3), ('b', -2), ('a', -2), ('b', -1), ('a', 3), ('b', -3)] n=11, fixed words = 153765
g = [('b', 2), ('a', 3), ('b', -1), ('a', -3), ('b', 3), ('a', 1), ('b', 1), ('a', -2), ('b', 1), ('a', 3)] n=11, fixed words = 147420
g = [('b', 3), ('a', 1), ('b', 2), ('a', -2), ('b', 1), ('a', -2), ('b', -2), ('a', -1), ('b', 2), ('a', 2)] n=11, fixed words = 147015
g = [('a', -1), ('b', 3), ('a', 1), ('b', 2), ('a', 1), ('b', 1), ('a', -2), ('b', 1), ('a', -2), ('b', -1)] n=11, fixed words = 161919
g = [('a', 1), ('b', 3), ('a', -3), ('b', -3), ('a', 3), ('b', -2), ('a', 1), ('b', 1), ('a', -1), ('b', -3)] n=11, fixed words = 132813
g = [('a', 1), ('b', 2), ('a', -2), ('b', 2), ('a', 3), ('b', 2), ('a', 2), ('b', 1), ('a', 1), ('b', 2)] n=11, fixed words = 151794
g = [('b', 3), ('a', -2), ('b', 1), ('a', 1), ('b', -2), ('a', -2), ('b', 3), ('a', -3), ('b', 2), ('a', 3)] n=11, fixed words = 147015
g = [('a', -1), ('b', -1), ('a', 3), ('b', 2), ('a', 3), ('b', -2), ('a', 2), ('b', -3), ('a', 3), ('b', 2)] n=11, fixed words = 132813
g = [('b', -3), ('a', -3), ('b', 1), ('a', 2), ('b', 2), ('a', 1), ('b', -1), ('a', 3), ('b', 1), ('a', -1)] n=11, fixed words = 153738
g = [('a', -3), ('b', 1), ('a', 1), ('b', 1), ('a', 2), ('b', 2), ('a', -1), ('b', -1), ('a', -3), ('b', 2)] n=11, fixed words = 132813
g = [('b', -3), ('a', 2), ('b', -2), ('a', 2), ('b', 1), ('a', 3), ('b', 3), ('a', -2), ('b', 3), ('a', -3)] n=11, fixed words = 132813
g = [('b', 1), ('a', 3), ('b', 1), ('a', -3), ('b', 2), ('a', -2), ('b', -1), ('a', -1), ('b', -1), ('a', -1)] n=11, fixed words = 132813
g = [('a', -1), ('b', 1), ('a', 3), ('b', -1), ('a', -1), ('b', -2), ('a', 2), ('b', 3), ('a', -1), ('b', 1)] n=11, fixed words = 132813
g = [('b', -2), ('a', -3), ('b', 3), ('a', -1), ('b', -2), ('a', -1), ('b', -3), ('a', -2), ('b', -2), ('a', 2)] n=11, fixed words = 147420
g = [('b', -3), ('a', -3), ('b', 2), ('a', -2), ('b', 2), ('a', 2), ('b', 3), ('a', 2), ('b', 2), ('a', 2)] n=11, fixed words = 147015
g = [('a', 1), ('b', 1), ('a', 3), ('b', 3), ('a', 2), ('b', -3), ('a', -2), ('b', -1), ('a', -3), ('b', 3)] n=11, fixed words = 147906
g = [('b', -3), ('a', -1), ('b', 2), ('a', -1), ('b', 1), ('a', 2), ('b', -3), ('a', -1), ('b', 2), ('a', -2)] n=11, fixed words = 147420
g = [('a', -1), ('b', -3), ('a', 2), ('b', -2), ('a', 3), ('b', -1), ('a', 2), ('b', -3), ('a', -1), ('b', 1)] n=11, fixed words = 132813
g = [('b', -3), ('a', -2), ('b', -3), ('a', 1), ('b', 2), ('a', 3), ('b', 2), ('a', -2), ('b', -2), ('a', 1)] n=11, fixed words = 132813
g = [('b', 3), ('a', 1), ('b', 1), ('a', -2), ('b', -2), ('a', 3), ('b', 3), ('a', 2), ('b', -2), ('a', 2)] n=11, fixed words = 162729
g = [('b', -1), ('a', 2), ('b', 2), ('a', 2), ('b', 3), ('a', -3), ('b', -3), ('a', 3), ('b', 3), ('a', -1)] n=11, fixed words = 147420
g = [('a', -3), ('b', 1), ('a', -2), ('b', -2), ('a', 3), ('b', -3), ('a', 1), ('b', 3), ('a', -3), ('b', -1)] n=11, fixed words = 132813
g = [('b', 3), ('a', 1), ('b', 3), ('a', -2), ('b', 2), ('a', 1), ('b', 1), ('a', -1), ('b', 3), ('a', -3)] n=11, fixed words = 147501
g = [('a', 2), ('b', -1), ('a', -2), ('b', 2), ('a', 2), ('b', 1), ('a', -3), ('b', 1), ('a', -3), ('b', -1)] n=11, fixed words = 132813
g = [('a', -3), ('b', 2), ('a', 1), ('b', -1), ('a', -3), ('b', -2), ('a', -1), ('b', 1), ('a', 1), ('b', -2)] n=11, fixed words = 132813
g = [('b', 2), ('a', -3), ('b', -2), ('a', -3), ('b', -3), ('a', -3), ('b', -3), ('a', -3), ('b', 3), ('a', 2)] n=11, fixed words = 147906
g = [('b', 1), ('a', 1), ('b', 1), ('a', -3), ('b', 1), ('a', 3), ('b', -1), ('a', 3), ('b', 1), ('a', 2)] n=11, fixed words = 162891
g = [('b', 1), ('a', -3), ('b', 2), ('a', -3), ('b', -3), ('a', 2), ('b', 2), ('a', -3), ('b', 1), ('a', 2)] n=11, fixed words = 147825
g = [('a', -3), ('b', -3), ('a', -1), ('b', -2), ('a', 3), ('b', 2), ('a', 1), ('b', 1), ('a', -1), ('b', -2)] n=11, fixed words = 132813
g = [('a', 1), ('b', -2), ('a', 2), ('b', -3), ('a', 2), ('b', 1), ('a', 1), ('b', 2), ('a', 2), ('b', -2)] n=11, fixed words = 132813
g = [('b', -1), ('a', 2), ('b', -1), ('a', 3), ('b', 2), ('a', -2), ('b', -1), ('a', -1), ('b', 3), ('a', 2)] n=11, fixed words = 132813
g = [('b', -2), ('a', 2), ('b', 1), ('a', -2), ('b', -3), ('a', 3), ('b', 3), ('a', -2), ('b', 3), ('a', 2)] n=11, fixed words = 147420
g = [('b', 2), ('a', -3), ('b', -2), ('a', 1), ('b', 2), ('a', -1), ('b', -2), ('a', 3), ('b', -2), ('a', -1)] n=11, fixed words = 132813
g = [('a', -3), ('b', -1), ('a', -1), ('b', -1), ('a', -2), ('b', -1), ('a', -1), ('b', -1), ('a', 1), ('b', -3)] n=11, fixed words = 147501
