g = [('b', -9), ('a', 7), ('b', -9), ('a', 9), ('b', 1), ('a', -7), ('b', -2)] n=15, fixed words = 11482884
g = [('b', 4), ('a', 5), ('b', -6), ('a', -4), ('b', 10), ('a', -7), ('b', 3)] n=15, fixed words = 10990323
g = [('b', 9), ('a', -8), ('b', 6), ('a', 8), ('b', 10), ('a', -9), ('b', -10)] n=15, fixed words = 13343373
g = [('b', 10), ('a', 6), ('b', 9), ('a', 4), ('b', 4), ('a', 9), ('b', -8)] n=15, fixed words = 11072133
g = [('b', -10), ('a', -9), ('b', -2), ('a', -1), ('b', -1), ('a', 4), ('b', -6)] n=15, fixed words = 11072133
g = [('a', 5), ('b', 6), ('a', 5), ('b', 1), ('a', 2), ('b', -1), ('a', -10)] n=15, fixed words = 11076507
g = [('a', 1), ('b', -4), ('a', -4), ('b', -4), ('a', 6), ('b', 1), ('a', 9)] n=15, fixed words = 11057796
g = [('b', -10), ('a', -10), ('b', 2), ('a', 4), ('b', -2), ('a', 10), ('b', 5)] n=15, fixed words = 9568503
g = [('a', 6), ('b', 3), ('a', -2), ('b', -2), ('a', -8), ('b', -2), ('a', -5)] n=15, fixed words = 11469114
g = [('a', -1), ('b', 2), ('a', 9), ('b', -10), ('a', -2), ('b', 8), ('a', -2)] n=15, fixed words = 11739168
g = [('a', -1), ('b', -8), ('a', 8), ('b', -10), ('a', 3), ('b', 6), ('a', 5)] n=15, fixed words = 12562371
g = [('b', 7), ('a', -9), ('b', 7), ('a', 4), ('b', -9), ('a', -7), ('b', -7)] n=15, fixed words = 11072133
g = [('a', 8), ('b', 9), ('a', -3), ('b', 3), ('a', 1), ('b', 7), ('a', -3)] n=15, fixed words = 11058039
g = [('b', 2), ('a', -9), ('b', -4), ('a', -5), ('b', 1), ('a', -10), ('b', 6)] n=15, fixed words = 11008791
g = [('b', -2), ('a', 6), ('b', 8), ('a', 5), ('b', 9), ('a', 1), ('b', 1)] n=15, fixed words = 11072133
g = [('a', -4), ('b', 9), ('a', 9), ('b', 7), ('a', -2), ('b', 9), ('a', -10)] n=15, fixed words = 9568503
g = [('b', -1), ('a', 10), ('b', 3), ('a', -10), ('b', 6), ('a', -1), ('b', -8)] n=15, fixed words = 11762091
g = [('b', 7), ('a', 9), ('b', -7), ('a', -2), ('b', -7), ('a', 10), ('b', -4)] n=15, fixed words = 9568503
g = [('b', -5), ('a', 7), ('b', 2), ('a', 3), ('b', -7), ('a', 3), ('b', 8)] n=15, fixed words = 9568503
g = [('b', 8), ('a', 8), ('b', 1), ('a', 3), ('b', -7), ('a', -6), ('b', -3)] n=15, fixed words = 9568503
g = [('b', 4), ('a', -10), ('b', -7), ('a', -10), ('b', 9), ('a', 1), ('b', -4)] n=15, fixed words = 9568503
g = [('a', 5), ('b', 10), ('a', 6), ('b', 4), ('a', -2), ('b', 3), ('a', 1)] n=15, fixed words = 9568503
g = [('b', 8), ('a', -1), ('b', 3), ('a', -10), ('b', 1), ('a', 3), ('b', 5)] n=15, fixed words = 9568503
g = [('b', 6), ('a', -6), ('b', 1), ('a', 9), ('b', -3), ('a', 1), ('b', -5)] n=15, fixed words = 9568503
g = [('b', 9), ('a', 2), ('b', 5), ('a', 6), ('b', 10), ('a', 3), ('b', 1)] n=15, fixed words = 9568503
g = [('b', 4), ('a', 4), ('b', -10), ('a', -6), ('b', -7), ('a', -10), ('b', -9)] n=15, fixed words = 11008791
g = [('b', 10), ('a', -9), ('b', 8), ('a', -2), ('b', 1), ('a', 8), ('b', -10)] n=15, fixed words = 13080285
g = [('b', 8), ('a', 9), ('b', -1), ('a', 6), ('b', 5), ('a', -7), ('b', 1)] n=15, fixed words = 9568503
g = [('b', 2), ('a', -5), ('b', -3), ('a', -4), ('b', -10), ('a', -2), ('b', 4)] n=15, fixed words = 9568503
g = [('a', -3), ('b', 2), ('a', -5), ('b', -5), ('a', 2), ('b', 8), ('a', 10)] n=15, fixed words = 9568503
g = [('b', 5), ('a', 6), ('b', -6), ('a', 2), ('b', -10), ('a', 10), ('b', -9)] n=15, fixed words = 11486124
g = [('b', 4), ('a', 4), ('b', -5), ('a', -2), ('b', -4), ('a', -1), ('b', -2)] n=15, fixed words = 9568503
g = [('a', 8), ('b', 2), ('a', -3), ('b', -9), ('a', -7), ('b', 9), ('a', 2)] n=15, fixed words = 11759499
g = [('a', -1), ('b', 6), ('a', 7), ('b', -9), ('a', 6), ('b', 4), ('a', 2)] n=15, fixed words = 9568503
g = [('a', 7), ('b', -3), ('a', -9), ('b', -7), ('a', -2), ('b', -8), ('a', -7)] n=15, fixed words = 11558538
g = [('a', 8), ('b', 10), ('a', 7), ('b', 3), ('a', -10), ('b', -1), ('a', 10)] n=15, fixed words = 12794193
g = [('b', 4), ('a', 2), ('b', 6), ('a', 4), ('b', 10), ('a', 2), ('b', -3)] n=15, fixed words = 9568503
g = [('a', 7), ('b', -4), ('a', 7), ('b', -2), ('a', -10), ('b', -1), ('a', -2)] n=15, fixed words = 9568503
