g = [('b', -7), ('a', -10), ('b', 8), ('a', -10), ('b', 7), ('a', -6), ('b', -3)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -9), ('b', 6), ('a', 7), ('b', -6), ('a', 5), ('b', -6), ('a', 3)] n=100, fixed words = 199479540605283359506933426500381230961527742024
g = [('b', -8), ('a', -2), ('b', 4), ('a', 3), ('b', -8), ('a', -4), ('b', 1)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', 5), ('b', 1), ('a', 4), ('b', -10), ('a', 9), ('b', 8), ('a', -7)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -3), ('b', 5), ('a', 3), ('b', 7), ('a', 5), ('b', 5), ('a', -8)] n=100, fixed words = 75127378720441929296301635408390300839862265486
g = [('b', -6), ('a', 10), ('b', 4), ('a', -3), ('b', -3), ('a', -2), ('b', -4)] n=100, fixed words = 98511727427261305679118070346810687000414881605
g = [('a', 3), ('b', 5), ('a', 1), ('b', -4), ('a', 9), ('b', -5), ('a', -1)] n=100, fixed words = 76209795926606337008627480490902392652241846378
g = [('a', 9), ('b', -6), ('a', 4), ('b', 8), ('a', 8), ('b', -8), ('a', -10)] n=100, fixed words = 75189049788417876148895889744342480043165214490
g = [('a', 7), ('b', 4), ('a', -7), ('b', 10), ('a', 6), ('b', 5), ('a', -6)] n=100, fixed words = 121682341510390781414138356641021953141629151751
g = [('b', -7), ('a', 8), ('b', -1), ('a', -9), ('b', -6), ('a', 9), ('b', 7)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 5), ('b', 7), ('a', -7), ('b', -4), ('a', 7), ('b', -7), ('a', 4)] n=100, fixed words = 105952974975639613512022833197144986431421737450
g = [('a', -2), ('b', 5), ('a', 3), ('b', 6), ('a', -1), ('b', 9), ('a', 2)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -6), ('b', -3), ('a', -5), ('b', 7), ('a', -7), ('b', -5), ('a', 9)] n=100, fixed words = 97827821958458196506013815920915377253906962804
g = [('b', 2), ('a', 5), ('b', -2), ('a', 8), ('b', -1), ('a', 6), ('b', 3)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -4), ('a', 4), ('b', 1), ('a', 3), ('b', 9), ('a', -7), ('b', 8)] n=100, fixed words = 115747106850821230996035682930285018901943113292
g = [('a', -8), ('b', 2), ('a', -7), ('b', 3), ('a', -2), ('b', -8), ('a', 4)] n=100, fixed words = 76162376213391988026917226277722811580467098150
g = [('b', -4), ('a', -7), ('b', 4), ('a', 9), ('b', -6), ('a', 1), ('b', 8)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('b', -8), ('a', -9), ('b', -3), ('a', 3), ('b', -8), ('a', -10), ('b', 3)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -8), ('a', -8), ('b', 7), ('a', -1), ('b', 1), ('a', 8), ('b', -5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 3), ('a', 9), ('b', 1), ('a', 9), ('b', -9), ('a', -6), ('b', 10)] n=100, fixed words = 76835093801424586562885633964523590089726834586
g = [('b', -2), ('a', -7), ('b', -2), ('a', 9), ('b', -4), ('a', -7), ('b', 6)] n=100, fixed words = 29763262633199482886345519360120838067631398155
