g | n1 | w1g | n2 | w2g
[('a', 5), ('b', -1), ('a', -2), ('b', 4), ('a', -5)] | 35 | 00011221110220201221211022010112212 | 4 | 0000
[('a', 1), ('b', 2), ('a', -5), ('b', 3), ('a', 2)] | 33 | 000022111122010112212122201012211 | 4 | 0000
[('b', -5), ('a', 2), ('b', 5), ('a', -2), ('b', 4)] | 35 | 00111220201221111122010122121102201 | 4 | 1010
[('b', -1), ('a', -2), ('b', -1), ('a', 5), ('b', -3)] | 33 | 001022020122121022020112211122202 | 4 | 1010
[('a', -5), ('b', 3), ('a', 2), ('b', 3), ('a', 2)] | 33 | 000112212122201012211122201012211 | 4 | 0000
[('a', -3), ('b', -1), ('a', 4), ('b', -3), ('a', -2)] | 33 | 000222121022020102211122202012212 | 4 | 0000
[('b', -2), ('a', 1), ('b', 2), ('a', -1), ('b', -1)] | 32 | 00112202002211112201002212102202 | 4 | 1010
[('b', 1), ('a', 4), ('b', -2), ('a', -1), ('b', -3)] | 33 | 001022010102211112202002212122202 | 4 | 1010
[('a', 5), ('b', -2), ('a', 1), ('b', 2), ('a', 1)] | 33 | 000112211112202002211112201002211 | 4 | 0000
[('a', -4), ('b', 4), ('a', -4), ('b', -4), ('a', -1)] | 36 | 000102212110220101022121102202002212 | 8 | 00000000
[('a', -1), ('b', -3), ('a', -2), ('b', 4), ('a', 2)] | 33 | 000022121222020122121102201012211 | 4 | 0000
[('a', 4), ('b', -1), ('a', 1), ('b', -2), ('a', -2)] | 33 | 000102211102202002211112202012212 | 6 | 000000
[('b', 3), ('a', 2), ('b', -1), ('a', -2), ('b', 4)] | 33 | 001222010122111022020122121102201 | 6 | 101010
[('b', -1), ('a', -1), ('b', -4), ('a', 3), ('b', 5)] | 34 | 0010220200221211022020222111112201 | 4 | 0000
[('a', 1), ('b', -1), ('a', 2), ('b', -2), ('a', 4)] | 33 | 000022111022020122111122020102211 | 4 | 0000
[('a', -4), ('b', -3), ('a', -4), ('b', -2), ('a', -4)] | 35 | 00010221212220201022121122020102212 | 4 | 1010
[('a', -5), ('b', 2), ('a', -3), ('b', -4), ('a', 2)] | 34 | 0001122121122010222121102202012211 | 4 | 1010
[('b', -3), ('a', -3), ('b', 5), ('a', -1), ('b', -5)] | 34 | 0012220202221211122010022121112202 | 4 | 0000
[('b', -1), ('a', -4), ('b', 1), ('a', -4), ('b', -3)] | 34 | 0010220201022121022010102212122202 | 4 | 0000
[('a', -1), ('b', -5), ('a', -5), ('b', -1), ('a', 5)] | 35 | 00002212111220201122121022020112211 | 4 | 0000
[('a', -5), ('b', 5), ('a', -5), ('b', -5), ('a', 3)] | 36 | 000112212111220101122121112202022211 | 4 | 0000
[('a', -5), ('b', 1), ('a', 5), ('b', 5), ('a', 1)] | 35 | 00011221210220101122111112201002211 | 4 | 0000
[('b', 5), ('a', 5), ('b', -2), ('a', 4), ('b', -5)] | 36 | 001112201011221111220201022111112202 | 4 | 1010
[('b', 1), ('a', -3), ('b', 4), ('a', 2), ('b', 3)] | 33 | 001022010222121102201012211122201 | 4 | 0000
[('a', 5), ('b', 4), ('a', 1), ('b', -2), ('a', 1)] | 34 | 0001122111102201002211112202002211 | 4 | 0000
[('b', -5), ('a', 3), ('b', 2), ('a', -2), ('b', -2)] | 33 | 001112202022211112201012212112202 | 4 | 0000
[('b', -4), ('a', 5), ('b', 5), ('a', 5), ('b', 3)] | 36 | 001102202011221111122010112211122201 | 4 | 0000
[('b', 1), ('a', 4), ('b', -5), ('a', 5), ('b', 5)] | 36 | 001022010102211111220201122111112201 | 4 | 1010
[('a', 1), ('b', -1), ('a', -2), ('b', 3), ('a', -1)] | 32 | 00002211102202012212122201002212 | 4 | 0000
[('b', -4), ('a', -1), ('b', 1), ('a', -3), ('b', -1)] | 33 | 001102202002212102201022212102202 | 4 | 0000
[('b', -1), ('a', 5), ('b', -4), ('a', -2), ('b', 1)] | 34 | 0010220201122111102202012212102201 | 4 | 1010
[('b', 4), ('a', -1), ('b', -3), ('a', -3), ('b', -4)] | 34 | 0011022010022121222020222121102202 | 4 | 0000
[('b', 5), ('a', 3), ('b', -2), ('a', -3), ('b', -1)] | 33 | 001112201022211112202022212102202 | 4 | 1010
[('b', -2), ('a', -3), ('b', 1), ('a', 3), ('b', -4)] | 33 | 001122020222121022010222111102202 | 4 | 1010
[('b', -4), ('a', 3), ('b', -5), ('a', 3), ('b', 4)] | 35 | 00110220202221111122020222111102201 | 4 | 1010
[('a', 5), ('b', -5), ('a', -4), ('b', -3), ('a', 3)] | 35 | 00011221111122020102212122202022211 | 4 | 0000
[('b', 3), ('a', 5), ('b', 1), ('a', 3), ('b', 3)] | 33 | 001222010112211102201022211122201 | 4 | 0000
[('a', 1), ('b', -1), ('a', -4), ('b', 5), ('a', -1)] | 34 | 0000221110220201022121112201002212 | 4 | 0000
[('a', 4), ('b', -1), ('a', 4), ('b', 4), ('a', -5)] | 36 | 000102211102202010221111022010112212 | 6 | 000000
[('b', 3), ('a', -1), ('b', -3), ('a', 1), ('b', 5)] | 33 | 001222010022121222020022111112201 | 4 | 1010
[('a', -1), ('b', 5), ('a', 5), ('b', 1), ('a', -3)] | 34 | 0000221211122010112211102201022212 | 4 | 0000
[('a', -1), ('b', 3), ('a', 1), ('b', -5), ('a', 2)] | 33 | 000022121222010022111112202012211 | 4 | 0000
[('b', -5), ('a', 4), ('b', 3), ('a', -5), ('b', -4)] | 36 | 001112202010221112220101122121102202 | 4 | 0000
[('b', 1), ('a', -1), ('b', -5), ('a', -1), ('b', -1)] | 33 | 001022010022121112202002212102202 | 4 | 0000
[('b', 4), ('a', -4), ('b', -2), ('a', 4), ('b', -3)] | 35 | 00110220101022121122020102211122202 | 4 | 1010
[('b', 1), ('a', -3), ('b', 1), ('a', 5), ('b', -2)] | 33 | 001022010222121022010112211112202 | 4 | 0000
[('b', 5), ('a', -4), ('b', -1), ('a', 2), ('b', -1)] | 34 | 0011122010102212102202012211102202 | 4 | 0000
[('a', 3), ('b', -1), ('a', -2), ('b', 1), ('a', 5)] | 33 | 000222111022020122121022010112211 | 6 | 000000
[('a', 5), ('b', -1), ('a', -1), ('b', 5), ('a', 2)] | 34 | 0001122111022020022121112201012211 | 4 | 1010
[('b', -5), ('a', 5), ('b', -1), ('a', 1), ('b', 2)] | 34 | 0011122020112211102202002211112201 | 4 | 1010
[('b', -5), ('a', -3), ('b', 5), ('a', -4), ('b', 4)] | 36 | 001112202022212111220101022121102201 | 4 | 0000
[('a', 5), ('b', -2), ('a', -4), ('b', 2), ('a', 4)] | 35 | 00011221111220201022121122010102211 | 4 | 0000
[('a', 2), ('b', 1), ('a', -3), ('b', 3), ('a', 2)] | 32 | 00012211102201022212122201012211 | 4 | 0000
[('a', -2), ('b', -3), ('a', -4), ('b', 5), ('a', 4)] | 35 | 00012212122202010221211122010102211 | 4 | 0000
[('a', 4), ('b', -4), ('a', 1), ('b', 2), ('a', 2)] | 34 | 0001022111102202002211112201012211 | 4 | 0000
[('a', -5), ('b', -4), ('a', 2), ('b', -1), ('a', 5)] | 35 | 00011221211022020122111022020112211 | 4 | 0000
[('b', -1), ('a', -5), ('b', -3), ('a', 4), ('b', -2)] | 34 | 0010220201122121222020102211112202 | 4 | 0000
[('b', 3), ('a', -2), ('b', 1), ('a', -2), ('b', -1)] | 32 | 00122201012212102201012212102202 | 4 | 0000
[('b', 5), ('a', -5), ('b', -5), ('a', 1), ('b', -3)] | 35 | 00111220101122121112202002211122202 | 4 | 0000
[('a', -2), ('b', 5), ('a', 2), ('b', 3), ('a', 2)] | 33 | 000122121112201012211122201012211 | 4 | 0000
[('b', -3), ('a', -5), ('b', -5), ('a', 5), ('b', -5)] | 36 | 001222020112212111220201122111112202 | 4 | 1010
[('b', 3), ('a', 5), ('b', 4), ('a', 5), ('b', -1)] | 35 | 00122201011221111022010112211102202 | 4 | 0000
[('b', -2), ('a', 3), ('b', -5), ('a', 2), ('b', -3)] | 33 | 001122020222111112202012211122202 | 4 | 0000
[('b', 5), ('a', -5), ('b', -1), ('a', -5), ('b', -4)] | 36 | 001112201011221210220201122121102202 | 4 | 0000
[('a', 1), ('b', 4), ('a', -3), ('b', -5), ('a', -3)] | 34 | 0000221111022010222121112202022212 | 4 | 0000
[('a', 5), ('b', -4), ('a', -1), ('b', -4), ('a', -5)] | 36 | 000112211110220200221211022020112212 | 4 | 0000
[('b', 2), ('a', -1), ('b', -2), ('a', 4), ('b', 1)] | 33 | 001122010022121122020102211102201 | 4 | 1010
[('b', 4), ('a', -2), ('b', 2), ('a', 2), ('b', 3)] | 33 | 001102201012212112201012211122201 | 8 | 00201010
[('a', 2), ('b', -1), ('a', -4), ('b', 3), ('a', -2)] | 33 | 000122111022020102212122201012212 | 4 | 0000
[('a', 1), ('b', -3), ('a', 5), ('b', -1), ('a', -5)] | 34 | 0000221112220201122111022020112212 | 4 | 0000
[('a', 3), ('b', -2), ('a', 5), ('b', 2), ('a', 4)] | 34 | 0002221111220201122111122010102211 | 6 | 000000
[('b', 4), ('a', 4), ('b', -5), ('a', -1), ('b', -1)] | 35 | 00110220101022111112202002212102202 | 4 | 1010
[('b', 3), ('a', 4), ('b', 4), ('a', 1), ('b', 4)] | 35 | 00122201010221111022010022111102201 | 4 | 0000
[('b', 2), ('a', 1), ('b', -4), ('a', 1), ('b', -3)] | 33 | 001122010022111102202002211122202 | 4 | 0000
[('a', 2), ('b', -3), ('a', -5), ('b', 2), ('a', -5)] | 34 | 0001221112220201122121122010112212 | 4 | 0000
[('b', 5), ('a', -5), ('b', 3), ('a', 4), ('b', -5)] | 36 | 001112201011221212220101022111112202 | 4 | 0000
[('a', -2), ('b', 4), ('a', -5), ('b', 2), ('a', -1)] | 34 | 0001221211022010112212112201002212 | 4 | 0000
[('b', 3), ('a', -3), ('b', -3), ('a', -4), ('b', -3)] | 33 | 001222010222121222020102212122202 | 4 | 0000
[('a', 5), ('b', 2), ('a', 4), ('b', 2), ('a', -4)] | 35 | 00011221111220101022111122010102212 | 4 | 0000
[('b', -5), ('a', 5), ('b', -3), ('a', -4), ('b', 4)] | 36 | 001112202011221112220201022121102201 | 4 | 0000
[('b', 5), ('a', -3), ('b', 3), ('a', -1), ('b', 5)] | 34 | 0011122010222121222010022121112201 | 4 | 0000
[('b', -2), ('a', -3), ('b', 4), ('a', 1), ('b', 1)] | 33 | 001122020222121102201002211102201 | 4 | 0000
[('a', 1), ('b', -3), ('a', 2), ('b', 4), ('a', -1)] | 33 | 000022111222020122111102201002212 | 4 | 0000
[('a', -4), ('b', -5), ('a', -1), ('b', 5), ('a', 3)] | 35 | 00010221211122020022121112201022211 | 4 | 0000
[('a', 4), ('b', 2), ('a', -1), ('b', 3), ('a', 5)] | 34 | 0001022111122010022121222010112211 | 4 | 0000
[('b', -2), ('a', -3), ('b', -1), ('a', 3), ('b', -4)] | 33 | 001122020222121022020222111102202 | 4 | 1010
[('a', -5), ('b', 3), ('a', -4), ('b', -5), ('a', -2)] | 35 | 00011221212220101022121112202012212 | 4 | 0000
[('a', 3), ('b', 4), ('a', 2), ('b', 5), ('a', -4)] | 35 | 00022211110220101221111122010102212 | 4 | 0000
[('b', 2), ('a', 2), ('b', -3), ('a', 5), ('b', 1)] | 33 | 001122010122111222020112211102201 | 4 | 0000
[('a', 3), ('b', -2), ('a', 1), ('b', 3), ('a', -2)] | 32 | 00022211112202002211122201012212 | 4 | 0000
[('a', -2), ('b', -3), ('a', -2), ('b', 1), ('a', 1)] | 32 | 00012212122202012212102201002211 | 4 | 1010
[('a', 1), ('b', 4), ('a', 5), ('b', 5), ('a', 1)] | 35 | 00002211110220101122111112201002211 | 4 | 0000
[('a', -4), ('b', 4), ('a', 1), ('b', -2), ('a', 4)] | 35 | 00010221211022010022111122020102211 | 4 | 0000
[('b', 4), ('a', -2), ('b', 1), ('a', 1), ('b', 2)] | 33 | 001102201012212102201002211112201 | 4 | 0000
[('a', -5), ('b', 3), ('a', 3), ('b', -4), ('a', 4)] | 35 | 00011221212220102221111022020102211 | 4 | 0000
[('a', -3), ('b', 2), ('a', -5), ('b', -4), ('a', 4)] | 35 | 00022212112201011221211022020102211 | 4 | 0000
[('a', -5), ('b', 4), ('a', -5), ('b', 3), ('a', 3)] | 35 | 00011221211022010112212122201022211 | 4 | 0000
[('b', 4), ('a', -4), ('b', 1), ('a', -1), ('b', -1)] | 34 | 0011022010102212102201002212102202 | 4 | 0000
[('a', -2), ('b', 5), ('a', 1), ('b', 2), ('a', -2)] | 33 | 000122121112201002211112201012212 | 4 | 1010
[('a', 5), ('b', -1), ('a', -5), ('b', 1), ('a', -4)] | 35 | 00011221110220201122121022010102212 | 4 | 0000
[('a', -2), ('b', -1), ('a', -2), ('b', 4), ('a', 5)] | 34 | 0001221210220201221211022010112211 | 4 | 0000
[('b', -3), ('a', -4), ('b', -3), ('a', 3), ('b', 3)] | 33 | 001222020102212122202022211122201 | 4 | 0000
[('a', -5), ('b', -2), ('a', -5), ('b', 3), ('a', 2)] | 34 | 0001122121122020112212122201012211 | 4 | 0000
[('b', -5), ('a', -3), ('b', -2), ('a', 4), ('b', 2)] | 34 | 0011122020222121122020102211112201 | 4 | 0000
[('b', 1), ('a', -2), ('b', -1), ('a', 3), ('b', -3)] | 32 | 00102201012212102202022211122202 | 4 | 0000
[('a', 4), ('b', 4), ('a', 2), ('b', -1), ('a', 2)] | 34 | 0001022111102201012211102202012211 | 4 | 0000
[('b', 2), ('a', -1), ('b', 1), ('a', 2), ('b', -3)] | 32 | 00112201002212102201012211122202 | 4 | 0000
[('b', -2), ('a', 1), ('b', 1), ('a', -2), ('b', 4)] | 33 | 001122020022111022010122121102201 | 4 | 0000
[('a', 3), ('b', 3), ('a', 2), ('b', -2), ('a', -5)] | 33 | 000222111222010122111122020112212 | 4 | 1010
[('a', -4), ('b', 3), ('a', 4), ('b', 5), ('a', -4)] | 36 | 000102212122201010221111122010102212 | 4 | 0000
[('b', -1), ('a', 5), ('b', 3), ('a', -1), ('b', 5)] | 34 | 0010220201122111222010022121112201 | 4 | 0000
[('a', -5), ('b', 5), ('a', 4), ('b', -3), ('a', -3)] | 35 | 00011221211122010102211122202022212 | 4 | 0000
[('b', 3), ('a', 5), ('b', -1), ('a', -1), ('b', 3)] | 33 | 001222010112211102202002212122201 | 4 | 0000
[('a', 2), ('b', 2), ('a', -1), ('b', 4), ('a', -2)] | 33 | 000122111122010022121102201012212 | 4 | 0000
[('b', -2), ('a', -2), ('b', -1), ('a', 4), ('b', -5)] | 34 | 0011220201221210220201022111112202 | 4 | 0000
[('a', 2), ('b', -3), ('a', 5), ('b', 3), ('a', 5)] | 34 | 0001221112220201122111222010112211 | 6 | 000000
[('b', -3), ('a', -3), ('b', 1), ('a', 2), ('b', 3)] | 32 | 00122202022212102201012211122201 | 4 | 0000
[('b', 2), ('a', 1), ('b', 2), ('a', 2), ('b', -5)] | 33 | 001122010022111122010122111112202 | 4 | 1010
[('b', -5), ('a', -3), ('b', -3), ('a', 3), ('b', -4)] | 34 | 0011122020222121222020222111102202 | 6 | 101010
[('a', -3), ('b', -5), ('a', 5), ('b', -4), ('a', -4)] | 36 | 000222121112202011221111022020102212 | 4 | 0000
[('b', -1), ('a', 5), ('b', -5), ('a', 5), ('b', -1)] | 35 | 00102202011221111122020112211102202 | 4 | 0000
[('b', -2), ('a', 2), ('b', -2), ('a', -3), ('b', 4)] | 33 | 001122020122111122020222121102201 | 4 | 0000
[('b', -3), ('a', 3), ('b', -4), ('a', 1), ('b', -3)] | 33 | 001222020222111102202002211122202 | 4 | 0000
[('b', 4), ('a', 2), ('b', -3), ('a', -4), ('b', 2)] | 34 | 0011022010122111222020102212112201 | 4 | 0000
[('a', 2), ('b', -5), ('a', -1), ('b', -4), ('a', -2)] | 34 | 0001221111122020022121102202012212 | 4 | 0000
[('b', 5), ('a', -5), ('b', -4), ('a', 2), ('b', -1)] | 35 | 00111220101122121102202012211102202 | 6 | 000000
[('b', -3), ('a', -2), ('b', 1), ('a', -3), ('b', 1)] | 32 | 00122202012212102201022212102201 | 4 | 0000
[('b', 2), ('a', -2), ('b', 4), ('a', 5), ('b', 3)] | 34 | 0011220101221211022010112211122201 | 6 | 000000
[('a', 1), ('b', 2), ('a', -2), ('b', 2), ('a', 5)] | 33 | 000022111122010122121122010112211 | 4 | 0000
[('b', -2), ('a', 1), ('b', -2), ('a', -5), ('b', 5)] | 34 | 0011220200221111220201122121112201 | 4 | 0000
[('a', -5), ('b', -4), ('a', 4), ('b', 5), ('a', -4)] | 37 | 0001122121102202010221111122010102212 | 4 | 0000
[('b', 5), ('a', 3), ('b', 3), ('a', 2), ('b', -1)] | 33 | 001112201022211122201012211102202 | 4 | 0000
[('a', -3), ('b', -4), ('a', 2), ('b', -5), ('a', -4)] | 35 | 00022212110220201221111122020102212 | 4 | 0000
[('b', -3), ('a', -4), ('b', -1), ('a', 1), ('b', 3)] | 33 | 001222020102212102202002211122201 | 4 | 1010
[('b', -4), ('a', 2), ('b', -4), ('a', 1), ('b', 3)] | 34 | 0011022020122111102202002211122201 | 4 | 1010
[('b', -5), ('a', -1), ('b', -2), ('a', -1), ('b', -2)] | 33 | 001112202002212112202002212112202 | 4 | 0000
[('a', 3), ('b', 2), ('a', -2), ('b', 3), ('a', -1)] | 32 | 00022211112201012212122201002212 | 4 | 1010
[('b', -2), ('a', -3), ('b', -4), ('a', 2), ('b', -5)] | 34 | 0011220202221211022020122111112202 | 4 | 0000
[('b', 2), ('a', -5), ('b', 4), ('a', 4), ('b', 2)] | 35 | 00112201011221211022010102211112201 | 4 | 0000
[('b', -5), ('a', -2), ('b', 1), ('a', -3), ('b', 4)] | 34 | 0011122020122121022010222121102201 | 4 | 0000
[('b', 4), ('a', 5), ('b', 2), ('a', -1), ('b', -1)] | 34 | 0011022010112211112201002212102202 | 4 | 0000
[('b', 5), ('a', -2), ('b', -2), ('a', 4), ('b', -5)] | 35 | 00111220101221211220201022111112202 | 4 | 0000
[('a', -5), ('b', 1), ('a', -4), ('b', -4), ('a', 1)] | 35 | 00011221210220101022121102202002211 | 4 | 0000
[('b', 5), ('a', -4), ('b', -2), ('a', -5), ('b', -2)] | 35 | 00111220101022121122020112212112202 | 4 | 1010
[('b', -5), ('a', -3), ('b', 2), ('a', 3), ('b', -4)] | 34 | 0011122020222121122010222111102202 | 4 | 1010
[('b', 2), ('a', 4), ('b', 2), ('a', 2), ('b', -2)] | 33 | 001122010102211112201012211112202 | 4 | 1010
[('a', -1), ('b', 3), ('a', 3), ('b', -4), ('a', 5)] | 34 | 0000221212220102221111022020112211 | 4 | 0000
[('b', -5), ('a', 4), ('b', -3), ('a', -3), ('b', 4)] | 35 | 00111220201022111222020222121102201 | 4 | 0000
[('a', -5), ('b', 2), ('a', 4), ('b', -4), ('a', -2)] | 35 | 00011221211220101022111102202012212 | 4 | 1010
[('a', -1), ('b', 4), ('a', 4), ('b', -4), ('a', 1)] | 35 | 00002212110220101022111102202002211 | 4 | 0000
[('a', -1), ('b', -3), ('a', -4), ('b', -4), ('a', -4)] | 35 | 00002212122202010221211022020102212 | 4 | 1010
[('b', 4), ('a', 4), ('b', -4), ('a', -4), ('b', -2)] | 36 | 001102201010221111022020102212112202 | 4 | 1010
[('b', -4), ('a', -1), ('b', 3), ('a', -5), ('b', -4)] | 35 | 00110220200221212220101122121102202 | 4 | 1010
[('a', 1), ('b', -4), ('a', -4), ('b', -2), ('a', 2)] | 34 | 0000221111022020102212112202012211 | 4 | 0000
[('b', -5), ('a', -5), ('b', -3), ('a', -4), ('b', 5)] | 36 | 001112202011221212220201022121112201 | 6 | 101010
[('a', 3), ('b', 4), ('a', -2), ('b', 4), ('a', -4)] | 35 | 00022211110220101221211022010102212 | 4 | 1010
[('b', -5), ('a', 2), ('b', -4), ('a', 1), ('b', -4)] | 35 | 00111220201221111022020022111102202 | 4 | 1010
[('b', 3), ('a', 3), ('b', -1), ('a', 5), ('b', 3)] | 33 | 001222010222111022020112211122201 | 4 | 0000
[('b', 5), ('a', 5), ('b', -3), ('a', -1), ('b', 5)] | 35 | 00111220101122111222020022121112201 | 4 | 0000
[('b', -2), ('a', 5), ('b', -5), ('a', -2), ('b', -1)] | 34 | 0011220201122111112202012212102202 | 4 | 1010
[('b', 5), ('a', -2), ('b', -3), ('a', 1), ('b', 3)] | 33 | 001112201012212122202002211122201 | 4 | 0000
[('a', 4), ('b', -1), ('a', 1), ('b', -3), ('a', 5)] | 34 | 0001022111022020022111222020112211 | 4 | 0000
[('b', 5), ('a', -2), ('b', -3), ('a', 3), ('b', -3)] | 33 | 001112201012212122202022211122202 | 4 | 0000
[('b', -4), ('a', 3), ('b', 4), ('a', -1), ('b', 4)] | 35 | 00110220202221111022010022121102201 | 4 | 0000
[('a', 1), ('b', 3), ('a', 4), ('b', -5), ('a', -4)] | 35 | 00002211122201010221111122020102212 | 4 | 0000
[('b', -2), ('a', -5), ('b', 2), ('a', 3), ('b', -4)] | 34 | 0011220201122121122010222111102202 | 4 | 0000
[('b', 4), ('a', -4), ('b', -2), ('a', -4), ('b', -1)] | 35 | 00110220101022121122020102212102202 | 4 | 0000
[('b', 4), ('a', -4), ('b', -5), ('a', 4), ('b', 1)] | 36 | 001102201010221211122020102211102201 | 8 | 00201010
[('a', 1), ('b', 5), ('a', -2), ('b', -3), ('a', 4)] | 34 | 0000221111122010122121222020102211 | 4 | 1010
[('b', -3), ('a', -5), ('b', 5), ('a', -3), ('b', 2)] | 34 | 0012220201122121112201022212112201 | 4 | 0000
[('b', 2), ('a', 2), ('b', 5), ('a', 4), ('b', 3)] | 34 | 0011220101221111122010102211122201 | 4 | 1010
[('b', 3), ('a', 3), ('b', 4), ('a', -4), ('b', -5)] | 35 | 00122201022211110220101022121112202 | 4 | 0000
[('a', -1), ('b', 1), ('a', 3), ('b', -4), ('a', -3)] | 33 | 000022121022010222111102202022212 | 4 | 0000
[('b', -1), ('a', 3), ('b', 4), ('a', -5), ('b', -2)] | 34 | 0010220202221111022010112212112202 | 4 | 0000
[('b', -2), ('a', 4), ('b', -1), ('a', 5), ('b', -1)] | 34 | 0011220201022111022020112211102202 | 4 | 1010
[('b', -3), ('a', 5), ('b', -1), ('a', -4), ('b', 2)] | 34 | 0012220201122111022020102212112201 | 4 | 0000
[('a', -1), ('b', 2), ('a', -2), ('b', 3), ('a', -1)] | 32 | 00002212112201012212122201002212 | 4 | 0000
[('b', -5), ('a', 2), ('b', -1), ('a', -1), ('b', 1)] | 33 | 001112202012211102202002212102201 | 4 | 0000
[('b', 4), ('a', 3), ('b', -1), ('a', 4), ('b', 1)] | 34 | 0011022010222111022020102211102201 | 4 | 0000
[('b', -4), ('a', -5), ('b', -5), ('a', 3), ('b', 2)] | 35 | 00110220201122121112202022211112201 | 4 | 0000
[('a', -5), ('b', 3), ('a', -3), ('b', -3), ('a', -2)] | 33 | 000112212122201022212122202012212 | 4 | 0000
[('a', 5), ('b', 1), ('a', -3), ('b', -4), ('a', 3)] | 34 | 0001122111022010222121102202022211 | 4 | 0000
[('a', -1), ('b', -4), ('a', -3), ('b', 1), ('a', -3)] | 33 | 000022121102202022212102201022212 | 4 | 0000
[('b', -2), ('a', 5), ('b', 2), ('a', -5), ('b', -1)] | 34 | 0011220201122111122010112212102202 | 4 | 1010
[('a', 4), ('b', -1), ('a', 5), ('b', 5), ('a', -5)] | 36 | 000102211102202011221111122010112212 | 4 | 0000
[('a', -5), ('b', 2), ('a', -3), ('b', -4), ('a', 5)] | 35 | 00011221211220102221211022020112211 | 4 | 1010
[('b', 3), ('a', 3), ('b', 1), ('a', -4), ('b', 3)] | 33 | 001222010222111022010102212122201 | 4 | 0000
[('b', -3), ('a', 1), ('b', -1), ('a', -3), ('b', 5)] | 33 | 001222020022111022020222121112201 | 4 | 0000
[('b', 3), ('a', 4), ('b', 5), ('a', -1), ('b', -5)] | 35 | 00122201010221111122010022121112202 | 6 | 000000
[('a', -5), ('b', 5), ('a', -1), ('b', -4), ('a', 5)] | 36 | 000112212111220100221211022020112211 | 4 | 0000
[('a', 4), ('b', 5), ('a', 5), ('b', 1), ('a', 3)] | 35 | 00010221111122010112211102201022211 | 6 | 000000
[('a', 3), ('b', 5), ('a', -3), ('b', 1), ('a', -5)] | 34 | 0002221111122010222121022010112212 | 4 | 0000
[('a', 1), ('b', -1), ('a', 1), ('b', -1), ('a', -3)] | 32 | 00002211102202002211102202022212 | 4 | 0000
[('b', 2), ('a', 2), ('b', -5), ('a', -4), ('b', 1)] | 34 | 0011220101221111122020102212102201 | 4 | 0000
[('a', 2), ('b', 4), ('a', 4), ('b', 1), ('a', -2)] | 34 | 0001221111022010102211102201012212 | 4 | 0000
[('a', 4), ('b', 1), ('a', -1), ('b', 2), ('a', -2)] | 33 | 000102211102201002212112201012212 | 4 | 0000
[('a', 5), ('b', -2), ('a', -1), ('b', 3), ('a', -3)] | 33 | 000112211112202002212122201022212 | 4 | 0000
[('a', -4), ('b', 2), ('a', -5), ('b', -5), ('a', -2)] | 35 | 00010221211220101122121112202012212 | 4 | 0000
[('a', -5), ('b', -4), ('a', -3), ('b', -1), ('a', 5)] | 35 | 00011221211022020222121022020112211 | 4 | 1010
[('b', 1), ('a', 1), ('b', 1), ('a', -1), ('b', -3)] | 32 | 00102201002211102201002212122202 | 4 | 1010
[('a', 2), ('b', -4), ('a', -1), ('b', -5), ('a', -1)] | 34 | 0001221111022020022121112202002212 | 8 | 00201110
[('b', -5), ('a', -5), ('b', -3), ('a', -5), ('b', -2)] | 35 | 00111220201122121222020112212112202 | 4 | 0000
[('a', 1), ('b', 1), ('a', 1), ('b', 3), ('a', -4)] | 33 | 000022111022010022111222010102212 | 4 | 0000
[('a', -5), ('b', -3), ('a', -2), ('b', 4), ('a', -5)] | 35 | 00011221212220201221211022010112212 | 4 | 1010
[('b', -4), ('a', 3), ('b', 2), ('a', 3), ('b', 1)] | 33 | 001102202022211112201022211102201 | 4 | 1010
[('b', 4), ('a', 4), ('b', 1), ('a', -5), ('b', 1)] | 35 | 00110220101022111022010112212102201 | 4 | 0000
[('a', -2), ('b', -1), ('a', -4), ('b', -2), ('a', 5)] | 34 | 0001221210220201022121122020112211 | 4 | 0000
[('b', -4), ('a', 1), ('b', 1), ('a', -5), ('b', -4)] | 35 | 00110220200221110220101122121102202 | 4 | 0000
[('b', 3), ('a', 5), ('b', -2), ('a', 3), ('b', -1)] | 33 | 001222010112211112202022211102202 | 4 | 0000
[('a', -5), ('b', -3), ('a', 4), ('b', -2), ('a', -5)] | 35 | 00011221212220201022111122020112212 | 4 | 1010
[('a', -5), ('b', 4), ('a', 4), ('b', 4), ('a', 1)] | 36 | 000112212110220101022111102201002211 | 4 | 1010
[('b', 2), ('a', 4), ('b', -4), ('a', 1), ('b', 3)] | 34 | 0011220101022111102202002211122201 | 4 | 0000
[('b', -3), ('a', 4), ('b', -5), ('a', -2), ('b', 1)] | 34 | 0012220201022111112202012212102201 | 4 | 0000
[('a', -2), ('b', -1), ('a', 2), ('b', 2), ('a', 5)] | 33 | 000122121022020122111122010112211 | 4 | 0000
[('b', 3), ('a', -4), ('b', -1), ('a', -4), ('b', 1)] | 34 | 0012220101022121022020102212102201 | 4 | 0000
[('b', -5), ('a', -3), ('b', -2), ('a', 3), ('b', -4)] | 34 | 0011122020222121122020222111102202 | 4 | 1010
[('a', -2), ('b', -5), ('a', -3), ('b', -3), ('a', -5)] | 34 | 0001221211122020222121222020112212 | 4 | 0000
[('a', -1), ('b', -5), ('a', -4), ('b', 5), ('a', 3)] | 35 | 00002212111220201022121112201022211 | 4 | 0000
[('a', -5), ('b', 5), ('a', -5), ('b', -1), ('a', -2)] | 35 | 00011221211122010112212102202012212 | 4 | 1010
