g = [('a', -1), ('b', -2), ('a', 1), ('b', -1), ('a', 2), ('b', 1), ('a', 1), ('b', -2), ('a', -3), ('b', 2)] n=10, fixed words = 51102
g = [('a', 1), ('b', 2), ('a', 3), ('b', -3), ('a', -3), ('b', 3), ('a', 2), ('b', -1), ('a', -3), ('b', 2)] n=10, fixed words = 56268
g = [('b', 2), ('a', -1), ('b', -2), ('a', -2), ('b', -3), ('a', -2), ('b', -3), ('a', -1), ('b', 3), ('a', 1)] n=10, fixed words = 49167
g = [('b', 1), ('a', 1), ('b', 3), ('a', -2), ('b', -2), ('a', 1), ('b', 3), ('a', -2), ('b', -1), ('a', -2)] n=10, fixed words = 44271
g = [('b', 1), ('a', -3), ('b', -2), ('a', -3), ('b', -3), ('a', -3), ('b', -3), ('a', -2), ('b', -2), ('a', 2)] n=10, fixed words = 57312
g = [('b', -1), ('a', 2), ('b', -3), ('a', 1), ('b', 2), ('a', 3), ('b', -3), ('a', 3), ('b', 2), ('a', -2)] n=10, fixed words = 49275
g = [('a', 3), ('b', -1), ('a', -1), ('b', -2), ('a', -2), ('b', -3), ('a', -1), ('b', -1), ('a', 2), ('b', 3)] n=10, fixed words = 44271
g = [('a', -2), ('b', -3), ('a', -1), ('b', -2), ('a', 2), ('b', -2), ('a', 3), ('b', -1), ('a', -3), ('b', 2)] n=10, fixed words = 49275
g = [('b', -3), ('a', 2), ('b', 1), ('a', 2), ('b', -1), ('a', 2), ('b', 1), ('a', -3), ('b', 3), ('a', 2)] n=10, fixed words = 44271
g = [('a', 3), ('b', -2), ('a', -1), ('b', 1), ('a', 1), ('b', -2), ('a', 1), ('b', 2), ('a', -1), ('b', -1)] n=10, fixed words = 49005
g = [('b', -3), ('a', 1), ('b', -2), ('a', 3), ('b', -3), ('a', -1), ('b', 2), ('a', 1), ('b', 1), ('a', 2)] n=10, fixed words = 49167
g = [('a', 3), ('b', -3), ('a', -3), ('b', 1), ('a', 1), ('b', -2), ('a', 3), ('b', -2), ('a', -2), ('b', 1)] n=10, fixed words = 44271
g = [('b', -2), ('a', 1), ('b', 3), ('a', -3), ('b', 2), ('a', -3), ('b', 3), ('a', 2), ('b', -1), ('a', -1)] n=10, fixed words = 44271
g = [('b', 2), ('a', 1), ('b', -2), ('a', 2), ('b', -3), ('a', -2), ('b', 1), ('a', 2), ('b', -3), ('a', -1)] n=10, fixed words = 44271
g = [('a', -1), ('b', 3), ('a', 3), ('b', 3), ('a', 1), ('b', 2), ('a', -3), ('b', 1), ('a', 3), ('b', -3)] n=10, fixed words = 54864
g = [('b', -3), ('a', 1), ('b', -2), ('a', -1), ('b', 1), ('a', -1), ('b', -3), ('a', -2), ('b', 3), ('a', 2)] n=10, fixed words = 44271
g = [('b', 1), ('a', -2), ('b', 3), ('a', 3), ('b', -2), ('a', 3), ('b', 1), ('a', 3), ('b', -3), ('a', 1)] n=10, fixed words = 51102
g = [('a', -3), ('b', 3), ('a', -3), ('b', 3), ('a', -2), ('b', 2), ('a', -1), ('b', 2), ('a', 1), ('b', -1)] n=10, fixed words = 50472
g = [('b', -3), ('a', -2), ('b', -2), ('a', 1), ('b', -2), ('a', -3), ('b', -3), ('a', 3), ('b', -3), ('a', -1)] n=10, fixed words = 44271
g = [('a', 1), ('b', 3), ('a', 1), ('b', -2), ('a', 1), ('b', 3), ('a', 2), ('b', -1), ('a', 3), ('b', 2)] n=10, fixed words = 44271
g = [('a', 1), ('b', 3), ('a', 3), ('b', -1), ('a', -3), ('b', 2), ('a', 2), ('b', -1), ('a', 3), ('b', -1)] n=10, fixed words = 49167
g = [('b', -1), ('a', 1), ('b', -3), ('a', 3), ('b', 1), ('a', 2), ('b', 3), ('a', -2), ('b', -1), ('a', 2)] n=10, fixed words = 49302
g = [('a', -3), ('b', -1), ('a', 2), ('b', -3), ('a', 3), ('b', 2), ('a', 1), ('b', 1), ('a', -1), ('b', 1)] n=10, fixed words = 51102
g = [('a', -2), ('b', 3), ('a', -2), ('b', 3), ('a', -3), ('b', -2), ('a', -3), ('b', 3), ('a', -3), ('b', 3)] n=10, fixed words = 44271
g = [('b', 2), ('a', -3), ('b', -2), ('a', -2), ('b', -1), ('a', -2), ('b', 1), ('a', 2), ('b', 3), ('a', 1)] n=10, fixed words = 49167
g = [('a', -1), ('b', 1), ('a', 1), ('b', 3), ('a', -2), ('b', 1), ('a', 1), ('b', -2), ('a', 3), ('b', -1)] n=10, fixed words = 44271
g = [('a', 1), ('b', 1), ('a', -2), ('b', -3), ('a', 2), ('b', -3), ('a', 2), ('b', -3), ('a', -2), ('b', -1)] n=10, fixed words = 50787
g = [('a', -2), ('b', -1), ('a', 3), ('b', 3), ('a', -3), ('b', 1), ('a', 2), ('b', 3), ('a', 3), ('b', -1)] n=10, fixed words = 49302
g = [('b', 1), ('a', -3), ('b', -3), ('a', 2), ('b', -1), ('a', -1), ('b', 2), ('a', 3), ('b', -3), ('a', -3)] n=10, fixed words = 44271
g = [('b', 3), ('a', 2), ('b', -3), ('a', -2), ('b', 3), ('a', -2), ('b', 3), ('a', -3), ('b', -2), ('a', -1)] n=10, fixed words = 49275
g = [('a', 2), ('b', 1), ('a', 3), ('b', 2), ('a', 1), ('b', 2), ('a', 3), ('b', 1), ('a', 1), ('b', 3)] n=10, fixed words = 50706
g = [('b', -1), ('a', 2), ('b', 1), ('a', 2), ('b', 1), ('a', -1), ('b', 1), ('a', 2), ('b', 2), ('a', -1)] n=10, fixed words = 44271
g = [('a', 1), ('b', -3), ('a', -1), ('b', 2), ('a', 2), ('b', 3), ('a', 1), ('b', -2), ('a', -2), ('b', -3)] n=10, fixed words = 49302
g = [('a', 2), ('b', -1), ('a', 3), ('b', 1), ('a', -1), ('b', 2), ('a', -2), ('b', -3), ('a', -3), ('b', -1)] n=10, fixed words = 44271
g = [('b', -1), ('a', -1), ('b', -3), ('a', 1), ('b', 2), ('a', -2), ('b', -2), ('a', 3), ('b', 3), ('a', 3)] n=10, fixed words = 44271
g = [('a', 2), ('b', 3), ('a', 1), ('b', 3), ('a', -2), ('b', 2), ('a', -1), ('b', -1), ('a', -3), ('b', -1)] n=10, fixed words = 54243
g = [('a', -1), ('b', 3), ('a', 1), ('b', -2), ('a', 2), ('b', -3), ('a', 3), ('b', -1), ('a', -3), ('b', -1)] n=10, fixed words = 44271
g = [('b', 1), ('a', -2), ('b', 3), ('a', 1), ('b', -2), ('a', 2), ('b', 1), ('a', 2), ('b', -1), ('a', -1)] n=10, fixed words = 44271
g = [('a', 3), ('b', -2), ('a', 2), ('b', -1), ('a', 1), ('b', 3), ('a', -1), ('b', -1), ('a', -2), ('b', 2)] n=10, fixed words = 49302
g = [('b', 2), ('a', -3), ('b', -3), ('a', 2), ('b', -1), ('a', 2), ('b', 1), ('a', -1), ('b', 2), ('a', 1)] n=10, fixed words = 44271
g = [('b', -1), ('a', -1), ('b', -3), ('a', 2), ('b', -3), ('a', -1), ('b', 1), ('a', 3), ('b', 1), ('a', 3)] n=10, fixed words = 49275
g = [('a', 1), ('b', -3), ('a', -2), ('b', 1), ('a', -3), ('b', -3), ('a', 1), ('b', 3), ('a', 2), ('b', -2)] n=10, fixed words = 44271
g = [('a', -3), ('b', 1), ('a', -2), ('b', -2), ('a', 2), ('b', -1), ('a', 3), ('b', -1), ('a', -3), ('b', -2)] n=10, fixed words = 49302
g = [('b', -2), ('a', 1), ('b', -1), ('a', 2), ('b', 1), ('a', -1), ('b', 3), ('a', 1), ('b', 2), ('a', 3)] n=10, fixed words = 54270
g = [('a', 2), ('b', -1), ('a', -1), ('b', 2), ('a', -2), ('b', 1), ('a', 1), ('b', -3), ('a', -3), ('b', 2)] n=10, fixed words = 49167
g = [('b', -1), ('a', -2), ('b', -2), ('a', 1), ('b', 3), ('a', 1), ('b', -2), ('a', 3), ('b', -2), ('a', -3)] n=10, fixed words = 51084
g = [('b', 3), ('a', 1), ('b', 2), ('a', 1), ('b', 3), ('a', 2), ('b', -3), ('a', -2), ('b', 1), ('a', 2)] n=10, fixed words = 49302
g = [('b', 1), ('a', -2), ('b', -3), ('a', 2), ('b', -3), ('a', 2), ('b', 2), ('a', -1), ('b', -3), ('a', -3)] n=10, fixed words = 49167
g = [('a', -2), ('b', -3), ('a', 2), ('b', -1), ('a', 3), ('b', 1), ('a', 1), ('b', -2), ('a', 3), ('b', 2)] n=10, fixed words = 49275
g = [('b', -2), ('a', -2), ('b', -3), ('a', -2), ('b', 2), ('a', 1), ('b', 2), ('a', 3), ('b', 2), ('a', 1)] n=10, fixed words = 44271
g = [('a', -1), ('b', -1), ('a', 3), ('b', -2), ('a', -2), ('b', -1), ('a', 3), ('b', -3), ('a', 1), ('b', -1)] n=10, fixed words = 44271
g = [('a', -3), ('b', 3), ('a', -3), ('b', 3), ('a', 3), ('b', -3), ('a', 2), ('b', 2), ('a', 3), ('b', 3)] n=10, fixed words = 44271
g = [('a', 1), ('b', -2), ('a', -1), ('b', 1), ('a', 2), ('b', -2), ('a', -1), ('b', -2), ('a', -1), ('b', -1)] n=10, fixed words = 56331
g = [('b', 2), ('a', -3), ('b', 1), ('a', -2), ('b', -3), ('a', -2), ('b', 3), ('a', 1), ('b', -2), ('a', -1)] n=10, fixed words = 44271
g = [('b', -3), ('a', -2), ('b', 2), ('a', 1), ('b', 1), ('a', 2), ('b', -3), ('a', -1), ('b', 3), ('a', -3)] n=10, fixed words = 56331
g = [('b', 1), ('a', 2), ('b', -2), ('a', -3), ('b', 2), ('a', -2), ('b', 1), ('a', -1), ('b', -2), ('a', -2)] n=10, fixed words = 56313
g = [('a', -3), ('b', -1), ('a', 3), ('b', -3), ('a', -2), ('b', -1), ('a', -3), ('b', -1), ('a', -3), ('b', 2)] n=10, fixed words = 44271
g = [('b', -1), ('a', 3), ('b', -3), ('a', 1), ('b', -3), ('a', 3), ('b', -3), ('a', -1), ('b', 3), ('a', -2)] n=10, fixed words = 44271
g = [('b', 3), ('a', -3), ('b', -1), ('a', 2), ('b', -2), ('a', 2), ('b', -1), ('a', -3), ('b', -1), ('a', -2)] n=10, fixed words = 44271
g = [('a', -1), ('b', -1), ('a', -2), ('b', -3), ('a', 1), ('b', 1), ('a', 1), ('b', 1), ('a', -2), ('b', -1)] n=10, fixed words = 54297
g = [('b', 2), ('a', -3), ('b', 2), ('a', -1), ('b', -1), ('a', 3), ('b', 1), ('a', -3), ('b', -3), ('a', 3)] n=10, fixed words = 44271
g = [('a', 2), ('b', 1), ('a', 2), ('b', -1), ('a', 2), ('b', -3), ('a', -1), ('b', -3), ('a', 3), ('b', 3)] n=10, fixed words = 49302
g = [('a', -1), ('b', -3), ('a', -2), ('b', 2), ('a', -2), ('b', -1), ('a', 3), ('b', -2), ('a', -1), ('b', 1)] n=10, fixed words = 54783
g = [('a', -3), ('b', 2), ('a', 3), ('b', 2), ('a', 1), ('b', 2), ('a', 3), ('b', 3), ('a', 3), ('b', 3)] n=10, fixed words = 49275
g = [('b', 1), ('a', 1), ('b', -2), ('a', 2), ('b', 1), ('a', -1), ('b', 3), ('a', 1), ('b', 3), ('a', -3)] n=10, fixed words = 56241
