Fixed words of length 7 (count=2025):
w=0102212, g(w)=0102212
w=0102220, g(w)=0102220
w=0102221, g(w)=0102221
w=0102222, g(w)=0102222
w=0110000, g(w)=0110000
w=0110001, g(w)=0110001
w=0110002, g(w)=0110002
w=0110010, g(w)=0110010
w=0110011, g(w)=0110011
w=0110012, g(w)=0110012
w=0110020, g(w)=0110020
w=0110021, g(w)=0110021
w=0110022, g(w)=0110022
w=0110100, g(w)=0110100
w=0110101, g(w)=0110101
w=0110102, g(w)=0110102
w=0110110, g(w)=0110110
w=0110111, g(w)=0110111
w=0110112, g(w)=0110112
w=0110120, g(w)=0110120
w=0110121, g(w)=0110121
w=0110122, g(w)=0110122
w=0110200, g(w)=0110200
w=0110201, g(w)=0110201
w=0110202, g(w)=0110202
w=0110210, g(w)=0110210
w=0110211, g(w)=0110211
w=0110212, g(w)=0110212
w=0110220, g(w)=0110220
w=0110221, g(w)=0110221
w=0110222, g(w)=0110222
w=0111000, g(w)=0111000
w=0111001, g(w)=0111001
w=0111002, g(w)=0111002
w=0111010, g(w)=0111010
w=0111011, g(w)=0111011
w=0111012, g(w)=0111012
w=0111020, g(w)=0111020
w=0111021, g(w)=0111021
w=0111022, g(w)=0111022
w=0111100, g(w)=0111100
w=0111101, g(w)=0111101
w=0111102, g(w)=0111102
w=0111110, g(w)=0111110
w=0111111, g(w)=0111111
w=0111112, g(w)=0111112
w=0111120, g(w)=0111120
w=0111121, g(w)=0111121
w=0111122, g(w)=0111122
w=0111200, g(w)=0111200
w=0111201, g(w)=0111201
w=0111202, g(w)=0111202
w=0111210, g(w)=0111210
w=0111211, g(w)=0111211
w=0111212, g(w)=0111212
w=0111220, g(w)=0111220
w=0111221, g(w)=0111221
w=0111222, g(w)=0111222
w=0112000, g(w)=0112000
w=0112001, g(w)=0112001
w=0112002, g(w)=0112002
w=0112010, g(w)=0112010
w=0112011, g(w)=0112011
w=0112012, g(w)=0112012
w=0112020, g(w)=0112020
w=0112021, g(w)=0112021
w=0112022, g(w)=0112022
w=0112100, g(w)=0112100
w=0112101, g(w)=0112101
w=0112102, g(w)=0112102
w=0112110, g(w)=0112110
w=0112111, g(w)=0112111
w=0112112, g(w)=0112112
w=0112120, g(w)=0112120
w=0112121, g(w)=0112121
w=0112122, g(w)=0112122
w=0112200, g(w)=0112200
w=0112201, g(w)=0112201
w=0112202, g(w)=0112202
w=0112210, g(w)=0112210
w=0112211, g(w)=0112211
w=0112212, g(w)=0112212
w=0112220, g(w)=0112220
w=0112221, g(w)=0112221
w=0112222, g(w)=0112222
w=0120000, g(w)=0120000
w=0120001, g(w)=0120001
w=0120002, g(w)=0120002
w=0120010, g(w)=0120010
w=0120011, g(w)=0120011
w=0120012, g(w)=0120012
w=0120020, g(w)=0120020
w=0120021, g(w)=0120021
w=0120022, g(w)=0120022
w=0120100, g(w)=0120100
w=0120101, g(w)=0120101
w=0120102, g(w)=0120102
w=0120110, g(w)=0120110
w=0120111, g(w)=0120111
w=0120112, g(w)=0120112
w=0120120, g(w)=0120120
w=0120121, g(w)=0120121
w=0120122, g(w)=0120122
w=0120200, g(w)=0120200
w=0120201, g(w)=0120201
w=0120202, g(w)=0120202
w=0120210, g(w)=0120210
w=0120211, g(w)=0120211
w=0120212, g(w)=0120212
w=0120220, g(w)=0120220
w=0120221, g(w)=0120221
w=0120222, g(w)=0120222
w=0121000, g(w)=0121000
w=0121001, g(w)=0121001
w=0121002, g(w)=0121002
w=0121010, g(w)=0121010
w=0121011, g(w)=0121011
w=0121012, g(w)=0121012
w=0121020, g(w)=0121020
w=0121021, g(w)=0121021
w=0121022, g(w)=0121022
w=0121100, g(w)=0121100
w=0121101, g(w)=0121101
w=0121102, g(w)=0121102
w=0121110, g(w)=0121110
w=0121111, g(w)=0121111
w=0121112, g(w)=0121112
w=0121120, g(w)=0121120
w=0121121, g(w)=0121121
w=0121122, g(w)=0121122
w=0121200, g(w)=0121200
w=0121201, g(w)=0121201
w=0121202, g(w)=0121202
w=0121210, g(w)=0121210
w=0121211, g(w)=0121211
w=0121212, g(w)=0121212
w=0121220, g(w)=0121220
w=0121221, g(w)=0121221
w=0121222, g(w)=0121222
w=0122000, g(w)=0122000
w=0122001, g(w)=0122001
w=0122002, g(w)=0122002
w=0122010, g(w)=0122010
w=0122011, g(w)=0122011
w=0122012, g(w)=0122012
w=0122020, g(w)=0122020
w=0122021, g(w)=0122021
w=0122022, g(w)=0122022
w=0122100, g(w)=0122100
w=0122101, g(w)=0122101
w=0122102, g(w)=0122102
w=0122110, g(w)=0122110
w=0122111, g(w)=0122111
w=0122112, g(w)=0122112
w=0122120, g(w)=0122120
w=0122121, g(w)=0122121
w=0122122, g(w)=0122122
w=0122200, g(w)=0122200
w=0122201, g(w)=0122201
w=0122202, g(w)=0122202
w=0122210, g(w)=0122210
w=0122211, g(w)=0122211
w=0122212, g(w)=0122212
w=0122220, g(w)=0122220
w=0122221, g(w)=0122221
w=0122222, g(w)=0122222
w=0200000, g(w)=0200000
w=0200001, g(w)=0200001
w=0200002, g(w)=0200002
w=0200010, g(w)=0200010
w=0200011, g(w)=0200011
w=0200012, g(w)=0200012
w=0200020, g(w)=0200020
w=0200021, g(w)=0200021
w=0200022, g(w)=0200022
w=0200100, g(w)=0200100
w=0200101, g(w)=0200101
w=0200102, g(w)=0200102
w=0200110, g(w)=0200110
w=0200111, g(w)=0200111
w=0200112, g(w)=0200112
w=0200120, g(w)=0200120
w=0200121, g(w)=0200121
w=0200122, g(w)=0200122
w=0200200, g(w)=0200200
w=0200201, g(w)=0200201
w=0200202, g(w)=0200202
w=0200210, g(w)=0200210
w=0200211, g(w)=0200211
w=0200212, g(w)=0200212
w=0200220, g(w)=0200220
w=0200221, g(w)=0200221
w=0200222, g(w)=0200222
w=0201000, g(w)=0201000
w=0201001, g(w)=0201001
w=0201002, g(w)=0201002
w=0201010, g(w)=0201010
w=0201011, g(w)=0201011
w=0201012, g(w)=0201012
w=0201020, g(w)=0201020
w=0201021, g(w)=0201021
w=0201022, g(w)=0201022
w=0201100, g(w)=0201100
w=0201101, g(w)=0201101
w=0201102, g(w)=0201102
w=0201110, g(w)=0201110
w=0201111, g(w)=0201111
w=0201112, g(w)=0201112
w=0201120, g(w)=0201120
w=0201121, g(w)=0201121
w=0201122, g(w)=0201122
w=0201200, g(w)=0201200
w=0201201, g(w)=0201201
w=0201202, g(w)=0201202
w=0201210, g(w)=0201210
w=0201211, g(w)=0201211
w=0201212, g(w)=0201212
w=0201220, g(w)=0201220
w=0201221, g(w)=0201221
w=0201222, g(w)=0201222
w=0202000, g(w)=0202000
w=0202001, g(w)=0202001
w=0202002, g(w)=0202002
w=0202010, g(w)=0202010
w=0202011, g(w)=0202011
w=0202012, g(w)=0202012
w=0202020, g(w)=0202020
w=0202021, g(w)=0202021
w=0202022, g(w)=0202022
w=0202100, g(w)=0202100
w=0202101, g(w)=0202101
w=0202102, g(w)=0202102
w=0202110, g(w)=0202110
w=0202111, g(w)=0202111
w=0202112, g(w)=0202112
w=0202120, g(w)=0202120
w=0202121, g(w)=0202121
w=0202122, g(w)=0202122
w=0202200, g(w)=0202200
w=0202201, g(w)=0202201
w=0202202, g(w)=0202202
w=0202210, g(w)=0202210
w=0202211, g(w)=0202211
w=0202212, g(w)=0202212
w=0202220, g(w)=0202220
w=0202221, g(w)=0202221
w=0202222, g(w)=0202222
w=0210000, g(w)=0210000
w=0210001, g(w)=0210001
w=0210002, g(w)=0210002
w=0210010, g(w)=0210010
w=0210011, g(w)=0210011
w=0210012, g(w)=0210012
w=0210020, g(w)=0210020
w=0210021, g(w)=0210021
w=0210022, g(w)=0210022
w=0210100, g(w)=0210100
w=0210101, g(w)=0210101
w=0210102, g(w)=0210102
w=0210110, g(w)=0210110
w=0210111, g(w)=0210111
w=0210112, g(w)=0210112
w=0210120, g(w)=0210120
w=0210121, g(w)=0210121
w=0210122, g(w)=0210122
w=0210200, g(w)=0210200
w=0210201, g(w)=0210201
w=0210202, g(w)=0210202
w=0210210, g(w)=0210210
w=0210211, g(w)=0210211
w=0210212, g(w)=0210212
w=0210220, g(w)=0210220
w=0210221, g(w)=0210221
w=0210222, g(w)=0210222
w=0211000, g(w)=0211000
w=0211001, g(w)=0211001
w=0211002, g(w)=0211002
w=0211010, g(w)=0211010
w=0211011, g(w)=0211011
w=0211012, g(w)=0211012
w=0211020, g(w)=0211020
w=0211021, g(w)=0211021
w=0211022, g(w)=0211022
w=0211100, g(w)=0211100
w=0211101, g(w)=0211101
w=0211102, g(w)=0211102
w=0211110, g(w)=0211110
w=0211111, g(w)=0211111
w=0211112, g(w)=0211112
w=0211120, g(w)=0211120
w=0211121, g(w)=0211121
w=0211122, g(w)=0211122
w=0211200, g(w)=0211200
w=0211201, g(w)=0211201
w=0211202, g(w)=0211202
w=0211210, g(w)=0211210
w=0211211, g(w)=0211211
w=0211212, g(w)=0211212
w=0211220, g(w)=0211220
w=0211221, g(w)=0211221
w=0211222, g(w)=0211222
w=0212000, g(w)=0212000
w=0212001, g(w)=0212001
w=0212002, g(w)=0212002
w=0212010, g(w)=0212010
w=0212011, g(w)=0212011
w=0212012, g(w)=0212012
w=0212020, g(w)=0212020
w=0212021, g(w)=0212021
w=0212022, g(w)=0212022
w=0212100, g(w)=0212100
w=0212101, g(w)=0212101
w=0212102, g(w)=0212102
w=0212110, g(w)=0212110
w=0212111, g(w)=0212111
w=0212112, g(w)=0212112
w=0212120, g(w)=0212120
w=0212121, g(w)=0212121
w=0212122, g(w)=0212122
w=0212200, g(w)=0212200
w=0212201, g(w)=0212201
w=0212202, g(w)=0212202
w=0212210, g(w)=0212210
w=0212211, g(w)=0212211
w=0212212, g(w)=0212212
w=0212220, g(w)=0212220
w=0212221, g(w)=0212221
w=0212222, g(w)=0212222
w=0220000, g(w)=0220000
w=0220001, g(w)=0220001
w=0220002, g(w)=0220002
w=0220010, g(w)=0220010
w=0220011, g(w)=0220011
w=0220012, g(w)=0220012
w=0220020, g(w)=0220020
w=0220021, g(w)=0220021
w=0220022, g(w)=0220022
w=0220100, g(w)=0220100
w=0220101, g(w)=0220101
w=0220102, g(w)=0220102
w=0220110, g(w)=0220110
w=0220111, g(w)=0220111
w=0220112, g(w)=0220112
w=0220120, g(w)=0220120
w=0220121, g(w)=0220121
w=0220122, g(w)=0220122
w=0220200, g(w)=0220200
w=0220201, g(w)=0220201
w=0220202, g(w)=0220202
w=0220210, g(w)=0220210
w=0220211, g(w)=0220211
w=0220212, g(w)=0220212
w=0220220, g(w)=0220220
w=0220221, g(w)=0220221
w=0220222, g(w)=0220222
w=0221000, g(w)=0221000
w=0221001, g(w)=0221001
w=0221002, g(w)=0221002
w=0221010, g(w)=0221010
w=0221011, g(w)=0221011
w=0221012, g(w)=0221012
w=0221020, g(w)=0221020
w=0221021, g(w)=0221021
w=0221022, g(w)=0221022
w=0221100, g(w)=0221100
w=0221101, g(w)=0221101
w=0221102, g(w)=0221102
w=0221110, g(w)=0221110
w=0221111, g(w)=0221111
w=0221112, g(w)=0221112
w=0221120, g(w)=0221120
w=0221121, g(w)=0221121
w=0221122, g(w)=0221122
w=0221200, g(w)=0221200
w=0221201, g(w)=0221201
w=0221202, g(w)=0221202
w=0221210, g(w)=0221210
w=0221211, g(w)=0221211
w=0221212, g(w)=0221212
w=0221220, g(w)=0221220
w=0221221, g(w)=0221221
w=0221222, g(w)=0221222
w=0222000, g(w)=0222000
w=0222001, g(w)=0222001
w=0222002, g(w)=0222002
w=0222010, g(w)=0222010
w=0222011, g(w)=0222011
w=0222012, g(w)=0222012
w=0222020, g(w)=0222020
w=0222021, g(w)=0222021
w=0222022, g(w)=0222022
w=0222100, g(w)=0222100
w=0222101, g(w)=0222101
w=0222102, g(w)=0222102
w=0222110, g(w)=0222110
w=0222111, g(w)=0222111
w=0222112, g(w)=0222112
w=0222120, g(w)=0222120
w=0222121, g(w)=0222121
w=0222122, g(w)=0222122
w=0222200, g(w)=0222200
w=0222201, g(w)=0222201
w=0222202, g(w)=0222202
w=0222210, g(w)=0222210
w=0222211, g(w)=0222211
w=0222212, g(w)=0222212
w=0222220, g(w)=0222220
w=0222221, g(w)=0222221
w=0222222, g(w)=0222222
w=1000100, g(w)=1000100
w=1000101, g(w)=1000101
w=1000102, g(w)=1000102
w=1000110, g(w)=1000110
w=1000111, g(w)=1000111
w=1000112, g(w)=1000112
w=1000120, g(w)=1000120
w=1000121, g(w)=1000121
w=1000122, g(w)=1000122
w=1000200, g(w)=1000200
w=1000201, g(w)=1000201
w=1000202, g(w)=1000202
w=1000210, g(w)=1000210
w=1000211, g(w)=1000211
w=1000212, g(w)=1000212
w=1000220, g(w)=1000220
w=1000221, g(w)=1000221
w=1000222, g(w)=1000222
w=1001000, g(w)=1001000
w=1001001, g(w)=1001001
w=1001002, g(w)=1001002
w=1001010, g(w)=1001010
w=1001011, g(w)=1001011
w=1001012, g(w)=1001012
w=1001020, g(w)=1001020
w=1001021, g(w)=1001021
w=1001022, g(w)=1001022
w=1001100, g(w)=1001100
