g = [('b', 10), ('a', -6), ('b', 6), ('a', 6), ('b', 6), ('a', -9), ('b', 6), ('a', -14), ('b', 8), ('a', 13), ('b', 8), ('a', -6), ('b', 3), ('a', 7), ('b', -6)] n=25, fixed words = 566034182406
g = [('a', -13), ('b', -8), ('a', -13), ('b', 3), ('a', 14), ('b', 5), ('a', 5), ('b', -7), ('a', 10), ('b', -7), ('a', 7), ('b', 13), ('a', -2), ('b', -8), ('a', 4)] n=25, fixed words = 691328551995
g = [('b', -12), ('a', 6), ('b', 8), ('a', -9), ('b', 2), ('a', -11), ('b', 9), ('a', -14), ('b', -7), ('a', -3), ('b', -9), ('a', 13), ('b', 7), ('a', -4), ('b', 7)] n=25, fixed words = 424690543179
g = [('b', -15), ('a', 13), ('b', 14), ('a', 9), ('b', -14), ('a', -8), ('b', -11), ('a', 1), ('b', -2), ('a', -6), ('b', -1), ('a', -7), ('b', 13), ('a', -15), ('b', -10)] n=25, fixed words = 424690543179
g = [('a', -8), ('b', -14), ('a', 15), ('b', 14), ('a', 9), ('b', -12), ('a', 4), ('b', -6), ('a', -3), ('b', -2), ('a', -8), ('b', -9), ('a', 10), ('b', -11), ('a', 6)] n=25, fixed words = 424690543179
g = [('b', 7), ('a', -1), ('b', -7), ('a', 15), ('b', -7), ('a', -10), ('b', 11), ('a', -13), ('b', 4), ('a', 3), ('b', 9), ('a', -14), ('b', -10), ('a', 8), ('b', -7)] n=25, fixed words = 726365917827
g = [('b', 6), ('a', 11), ('b', 8), ('a', 1), ('b', 12), ('a', 7), ('b', -6), ('a', 6), ('b', -12), ('a', -7), ('b', 14), ('a', -2), ('b', 3), ('a', 3), ('b', -9)] n=25, fixed words = 424690543179
g = [('a', 11), ('b', 4), ('a', 1), ('b', -2), ('a', 14), ('b', -9), ('a', 13), ('b', 4), ('a', -6), ('b', 3), ('a', 9), ('b', 8), ('a', 11), ('b', 4), ('a', -3)] n=25, fixed words = 526392385506
g = [('b', 1), ('a', -15), ('b', 10), ('a', -14), ('b', -13), ('a', -7), ('b', 7), ('a', 5), ('b', -6), ('a', 12), ('b', 15), ('a', -10), ('b', 14), ('a', -12), ('b', 12)] n=25, fixed words = 424690543179
g = [('a', -12), ('b', 6), ('a', 11), ('b', -8), ('a', 9), ('b', -4), ('a', -14), ('b', 3), ('a', 7), ('b', 4), ('a', -1), ('b', -2), ('a', 12), ('b', -13), ('a', -6)] n=25, fixed words = 535327489026
g = [('a', -14), ('b', -5), ('a', -2), ('b', 5), ('a', -3), ('b', -9), ('a', -10), ('b', 11), ('a', 9), ('b', -13), ('a', 5), ('b', 8), ('a', 14), ('b', -9), ('a', -2)] n=25, fixed words = 662198490081
g = [('b', -3), ('a', 8), ('b', -4), ('a', -7), ('b', 2), ('a', -14), ('b', -15), ('a', -2), ('b', 1), ('a', -7), ('b', -5), ('a', -14), ('b', -3), ('a', -11), ('b', -9)] n=25, fixed words = 566340888906
g = [('b', -9), ('a', -6), ('b', -1), ('a', 12), ('b', 7), ('a', 15), ('b', -11), ('a', 12), ('b', 5), ('a', -8), ('b', -6), ('a', -6), ('b', -3), ('a', -10), ('b', -7)] n=25, fixed words = 579955861548
g = [('a', 6), ('b', 1), ('a', 11), ('b', -5), ('a', -8), ('b', -3), ('a', -14), ('b', -3), ('a', -9), ('b', -14), ('a', -9), ('b', 1), ('a', -13), ('b', -14), ('a', 10)] n=25, fixed words = 424690543179
g = [('a', 14), ('b', 7), ('a', 8), ('b', -15), ('a', -5), ('b', 13), ('a', -4), ('b', 12), ('a', 4), ('b', 1), ('a', 2), ('b', -4), ('a', 4), ('b', 13), ('a', -7)] n=25, fixed words = 590672718585
g = [('b', -8), ('a', -11), ('b', 5), ('a', -12), ('b', -3), ('a', -10), ('b', 15), ('a', -10), ('b', -5), ('a', -6), ('b', 1), ('a', 2), ('b', -12), ('a', -14), ('b', -10)] n=25, fixed words = 424690543179
g = [('a', -1), ('b', -2), ('a', -6), ('b', -2), ('a', -3), ('b', -14), ('a', -12), ('b', -9), ('a', -1), ('b', -11), ('a', 3), ('b', -6), ('a', 3), ('b', 5), ('a', -4)] n=25, fixed words = 684391637556
g = [('b', 2), ('a', -2), ('b', -3), ('a', -12), ('b', -11), ('a', 2), ('b', -2), ('a', 8), ('b', 10), ('a', -13), ('b', -13), ('a', -2), ('b', 14), ('a', -8), ('b', 14)] n=25, fixed words = 589886828478
g = [('a', 2), ('b', -5), ('a', -10), ('b', 11), ('a', -2), ('b', 10), ('a', 14), ('b', 3), ('a', 10), ('b', 5), ('a', -7), ('b', 12), ('a', -11), ('b', -13), ('a', 4)] n=25, fixed words = 596472180669
g = [('a', -11), ('b', 4), ('a', 5), ('b', -9), ('a', -10), ('b', -4), ('a', 13), ('b', 4), ('a', -4), ('b', 5), ('a', -1), ('b', 5), ('a', 14), ('b', -13), ('a', -2)] n=25, fixed words = 424690543179
g = [('a', -13), ('b', 14), ('a', 7), ('b', -6), ('a', 9), ('b', -7), ('a', 3), ('b', -5), ('a', -12), ('b', -14), ('a', 15), ('b', 2), ('a', 5), ('b', -5), ('a', 10)] n=25, fixed words = 681505643196
g = [('b', -7), ('a', -12), ('b', -10), ('a', 3), ('b', 14), ('a', -9), ('b', 7), ('a', -14), ('b', -9), ('a', -7), ('b', -14), ('a', 12), ('b', -12), ('a', -11), ('b', 12)] n=25, fixed words = 424690543179
g = [('a', 3), ('b', 1), ('a', -2), ('b', 10), ('a', 5), ('b', 12), ('a', 13), ('b', 1), ('a', 5), ('b', -1), ('a', 5), ('b', -2), ('a', 8), ('b', 12), ('a', -7)] n=25, fixed words = 657036745560
g = [('b', -9), ('a', 6), ('b', -14), ('a', 9), ('b', 2), ('a', -15), ('b', -3), ('a', -1), ('b', 8), ('a', -3), ('b', 7), ('a', -2), ('b', -11), ('a', 14), ('b', 4)] n=25, fixed words = 424690543179
