g = [('a', -1), ('b', -6), ('a', 13), ('b', 11), ('a', -3), ('b', -7), ('a', -2), ('b', -3), ('a', 5), ('b', -5), ('a', 14), ('b', -12), ('a', -13), ('b', -5), ('a', -7)] n=50, fixed words = 493134070700139943107519
g = [('b', 6), ('a', 13), ('b', 14), ('a', 11), ('b', -9), ('a', 15), ('b', -4), ('a', 1), ('b', 5), ('a', -3), ('b', -14), ('a', -5), ('b', -3), ('a', 1), ('b', -14)] n=50, fixed words = 272601281678769531528174
g = [('b', 12), ('a', 10), ('b', 2), ('a', 5), ('b', 2), ('a', 11), ('b', -2), ('a', 2), ('b', 2), ('a', 4), ('b', -2), ('a', -13), ('b', -11), ('a', 15), ('b', 11)] n=50, fixed words = 171803146192394079920121
g = [('a', -8), ('b', -9), ('a', -3), ('b', 13), ('a', -14), ('b', -10), ('a', 3), ('b', -6), ('a', 4), ('b', 4), ('a', 15), ('b', -8), ('a', -13), ('b', 5), ('a', -15)] n=50, fixed words = 171803146192394079920121
g = [('b', 13), ('a', 11), ('b', 4), ('a', -14), ('b', 15), ('a', 8), ('b', -10), ('a', -11), ('b', -1), ('a', -4), ('b', -6), ('a', -1), ('b', 4), ('a', 3), ('b', 15)] n=50, fixed words = 171803146192394079920121
g = [('a', 12), ('b', 14), ('a', 4), ('b', 5), ('a', -11), ('b', 15), ('a', 10), ('b', -10), ('a', 1), ('b', -14), ('a', 9), ('b', 13), ('a', -12), ('b', 4), ('a', 1)] n=50, fixed words = 319315199928362997465033
g = [('b', 8), ('a', -1), ('b', -12), ('a', -10), ('b', -5), ('a', 14), ('b', -11), ('a', 8), ('b', 14), ('a', 7), ('b', -13), ('a', 3), ('b', 13), ('a', -14), ('b', -14)] n=50, fixed words = 171803146192394079920121
g = [('a', -2), ('b', 12), ('a', -6), ('b', -10), ('a', 1), ('b', -11), ('a', 8), ('b', -1), ('a', 12), ('b', -1), ('a', -4), ('b', 14), ('a', -3), ('b', 1), ('a', 12)] n=50, fixed words = 318745164689802623048985
g = [('b', 8), ('a', -2), ('b', -10), ('a', -14), ('b', 15), ('a', 2), ('b', 8), ('a', -14), ('b', 1), ('a', 9), ('b', 4), ('a', 6), ('b', -3), ('a', -3), ('b', -2)] n=50, fixed words = 267516167722524052974936
g = [('a', 15), ('b', 6), ('a', 14), ('b', -4), ('a', 14), ('b', 5), ('a', -5), ('b', 12), ('a', 4), ('b', -1), ('a', -12), ('b', 10), ('a', -7), ('b', -13), ('a', -9)] n=50, fixed words = 262610684191008930676419
g = [('a', 13), ('b', -5), ('a', -6), ('b', -4), ('a', -14), ('b', -10), ('a', -4), ('b', -10), ('a', -11), ('b', -9), ('a', -14), ('b', 12), ('a', -3), ('b', -10), ('a', -5)] n=50, fixed words = 311746725782250299209728
g = [('b', -13), ('a', 15), ('b', -7), ('a', 15), ('b', 13), ('a', -1), ('b', 13), ('a', -7), ('b', 14), ('a', -13), ('b', 3), ('a', 13), ('b', 10), ('a', 13), ('b', 4)] n=50, fixed words = 171803146192394079920121
g = [('a', -11), ('b', 13), ('a', -4), ('b', 10), ('a', -4), ('b', -5), ('a', -8), ('b', -8), ('a', -1), ('b', 1), ('a', -7), ('b', -2), ('a', -3), ('b', -2), ('a', 9)] n=50, fixed words = 171803146192394079920121
g = [('a', 9), ('b', -8), ('a', -12), ('b', -6), ('a', 10), ('b', 4), ('a', 14), ('b', 8), ('a', -15), ('b', 5), ('a', -12), ('b', 11), ('a', -13), ('b', -5), ('a', 15)] n=50, fixed words = 310769929259559719233920
g = [('a', -3), ('b', -5), ('a', 3), ('b', -13), ('a', -15), ('b', 1), ('a', -7), ('b', 4), ('a', 14), ('b', 7), ('a', -14), ('b', -4), ('a', 11), ('b', 14), ('a', 3)] n=50, fixed words = 171803146192394079920121
g = [('b', 4), ('a', -5), ('b', 9), ('a', -9), ('b', -15), ('a', -5), ('b', -2), ('a', 15), ('b', 13), ('a', 11), ('b', -5), ('a', 2), ('b', 4), ('a', 4), ('b', 12)] n=50, fixed words = 171803146192394079920121
g = [('a', 8), ('b', 3), ('a', 9), ('b', 15), ('a', -8), ('b', -14), ('a', 4), ('b', -9), ('a', 3), ('b', 4), ('a', -9), ('b', 5), ('a', -2), ('b', -1), ('a', -14)] n=50, fixed words = 475380961777141437429504
g = [('b', 7), ('a', -6), ('b', 10), ('a', 4), ('b', 6), ('a', -1), ('b', 11), ('a', 15), ('b', 6), ('a', 5), ('b', -1), ('a', -6), ('b', 5), ('a', 11), ('b', 12)] n=50, fixed words = 171803146192394079920121
g = [('a', -12), ('b', 12), ('a', -4), ('b', 15), ('a', -6), ('b', 3), ('a', -7), ('b', -4), ('a', 1), ('b', 15), ('a', 15), ('b', -9), ('a', -10), ('b', 14), ('a', 7)] n=50, fixed words = 171803146192394079920121
g = [('a', 11), ('b', -14), ('a', 4), ('b', 6), ('a', 7), ('b', -9), ('a', -5), ('b', 7), ('a', -9), ('b', 15), ('a', 9), ('b', 13), ('a', -11), ('b', 13), ('a', -2)] n=50, fixed words = 171803146192394079920121
g = [('b', -14), ('a', -13), ('b', 4), ('a', -11), ('b', -8), ('a', -14), ('b', 8), ('a', 2), ('b', 8), ('a', 14), ('b', 1), ('a', 8), ('b', -4), ('a', 15), ('b', 5)] n=50, fixed words = 329356227543264796066542
g = [('a', 6), ('b', 14), ('a', -5), ('b', -3), ('a', -12), ('b', 13), ('a', -5), ('b', 15), ('a', 7), ('b', 5), ('a', 13), ('b', 10), ('a', -13), ('b', -3), ('a', 14)] n=50, fixed words = 276994045737170410629438
g = [('a', -8), ('b', 14), ('a', 1), ('b', -6), ('a', -9), ('b', 2), ('a', 12), ('b', 8), ('a', 9), ('b', -9), ('a', -2), ('b', 8), ('a', 14), ('b', 5), ('a', 15)] n=50, fixed words = 171803146192394079920121
g = [('a', 8), ('b', 9), ('a', 12), ('b', 1), ('a', -13), ('b', -14), ('a', -4), ('b', -14), ('a', 8), ('b', 11), ('a', -14), ('b', 8), ('a', -13), ('b', 6), ('a', -5)] n=50, fixed words = 274906187790260776074297
g = [('a', 7), ('b', 11), ('a', 12), ('b', -5), ('a', 4), ('b', -3), ('a', -8), ('b', -7), ('a', 5), ('b', -7), ('a', -13), ('b', -7), ('a', 13), ('b', -3), ('a', 15)] n=50, fixed words = 262610684191008930676419
g = [('a', -9), ('b', -12), ('a', 2), ('b', -12), ('a', 6), ('b', 15), ('a', -7), ('b', 11), ('a', -3), ('b', -5), ('a', -7), ('b', 2), ('a', -2), ('b', -12), ('a', -11)] n=50, fixed words = 171803146192394079920121
g = [('b', 4), ('a', -12), ('b', -15), ('a', 2), ('b', 1), ('a', -5), ('b', 3), ('a', -10), ('b', -3), ('a', 15), ('b', 13), ('a', -13), ('b', 2), ('a', -5), ('b', 14)] n=50, fixed words = 171803146192394079920121
g = [('a', 6), ('b', -5), ('a', 10), ('b', 2), ('a', 4), ('b', 13), ('a', -10), ('b', 1), ('a', 9), ('b', -12), ('a', 14), ('b', -9), ('a', -3), ('b', 12), ('a', 14)] n=50, fixed words = 171803146192394079920121
g = [('a', -3), ('b', -10), ('a', -6), ('b', 10), ('a', -2), ('b', 10), ('a', 1), ('b', 9), ('a', -8), ('b', -6), ('a', -12), ('b', 2), ('a', 3), ('b', 10), ('a', 6)] n=50, fixed words = 274470053379731670775320
g = [('a', -11), ('b', -10), ('a', 3), ('b', -4), ('a', 12), ('b', 8), ('a', 12), ('b', -15), ('a', -14), ('b', -9), ('a', -10), ('b', -1), ('a', 8), ('b', -1), ('a', 5)] n=50, fixed words = 171803146192394079920121
g = [('a', -6), ('b', -8), ('a', -10), ('b', 4), ('a', -3), ('b', 5), ('a', -5), ('b', -1), ('a', 13), ('b', 7), ('a', 12), ('b', -13), ('a', 12), ('b', -11), ('a', -8)] n=50, fixed words = 171803146192394079920121
g = [('a', 11), ('b', 12), ('a', -5), ('b', 1), ('a', -10), ('b', 3), ('a', 8), ('b', -8), ('a', 8), ('b', -8), ('a', -7), ('b', -13), ('a', -2), ('b', 11), ('a', -3)] n=50, fixed words = 333132326739355005035298
g = [('a', -3), ('b', 11), ('a', -14), ('b', -2), ('a', -11), ('b', -12), ('a', 8), ('b', 6), ('a', 1), ('b', 2), ('a', 4), ('b', 10), ('a', 9), ('b', -9), ('a', 8)] n=50, fixed words = 275420684011235489871795
g = [('a', 3), ('b', -4), ('a', 3), ('b', -10), ('a', -4), ('b', 1), ('a', -13), ('b', 11), ('a', -4), ('b', 8), ('a', -15), ('b', -10), ('a', 11), ('b', -4), ('a', -15)] n=50, fixed words = 171803146192394079920121
g = [('b', -6), ('a', 13), ('b', -7), ('a', 8), ('b', -10), ('a', -9), ('b', -6), ('a', -2), ('b', -8), ('a', 5), ('b', 3), ('a', -4), ('b', 14), ('a', -12), ('b', -11)] n=50, fixed words = 171803146192394079920121
g = [('a', 13), ('b', 3), ('a', 2), ('b', 4), ('a', -8), ('b', -2), ('a', -15), ('b', -8), ('a', -2), ('b', -7), ('a', -9), ('b', 9), ('a', 14), ('b', 2), ('a', 5)] n=50, fixed words = 329936563524814049589174
g = [('b', -12), ('a', -2), ('b', -10), ('a', 4), ('b', 15), ('a', -10), ('b', -14), ('a', 11), ('b', 8), ('a', -15), ('b', -12), ('a', 13), ('b', -10), ('a', 14), ('b', 4)] n=50, fixed words = 272598838128058492508427
g = [('a', 7), ('b', 2), ('a', 7), ('b', -12), ('a', 7), ('b', -2), ('a', 6), ('b', -8), ('a', 15), ('b', -7), ('a', -14), ('b', -10), ('a', 15), ('b', 13), ('a', 15)] n=50, fixed words = 267615327803625488733624
g = [('b', 10), ('a', -2), ('b', 12), ('a', -5), ('b', -6), ('a', -5), ('b', 6), ('a', -3), ('b', -12), ('a', 11), ('b', -13), ('a', 3), ('b', 12), ('a', 12), ('b', 2)] n=50, fixed words = 171803146192394079920121
g = [('b', 10), ('a', -1), ('b', 4), ('a', 14), ('b', -1), ('a', -3), ('b', -5), ('a', -2), ('b', 4), ('a', 1), ('b', -13), ('a', -2), ('b', -13), ('a', -12), ('b', -15)] n=50, fixed words = 171803146192394079920121
g = [('b', -4), ('a', 4), ('b', 5), ('a', 4), ('b', 3), ('a', -7), ('b', -4), ('a', -14), ('b', 2), ('a', -4), ('b', -10), ('a', -8), ('b', 13), ('a', 1), ('b', -4)] n=50, fixed words = 275914470383924103083034
g = [('b', 7), ('a', -3), ('b', -4), ('a', -9), ('b', -10), ('a', -14), ('b', 7), ('a', 11), ('b', 7), ('a', -1), ('b', 9), ('a', -8), ('b', -12), ('a', 11), ('b', -2)] n=50, fixed words = 171803146192394079920121
g = [('a', -10), ('b', 13), ('a', 7), ('b', 1), ('a', -12), ('b', 6), ('a', 14), ('b', 3), ('a', 6), ('b', 3), ('a', -5), ('b', -11), ('a', -13), ('b', -8), ('a', 14)] n=50, fixed words = 171803146192394079920121
